Month,NumberOfQuestions
"2019-01","342"
"2019-02","346"
"2019-03","318"
"2019-04","361"
"2019-05","392"
"2019-06","388"
"2019-07","451"
"2019-08","379"
"2019-09","456"
"2019-10","485"
"2019-11","445"
"2019-12","400"
"2020-01","485"
"2020-02","478"
"2020-03","515"
"2020-04","563"
"2020-05","567"
"2020-06","533"
"2020-07","502"
"2020-08","469"
"2020-09","498"
"2020-10","455"
"2020-11","480"
"2020-12","400"
"2021-01","416"
"2021-02","476"
"2021-03","558"
"2021-04","404"
"2021-05","407"
"2021-06","428"
"2021-07","365"
"2021-08","376"
"2021-09","382"
"2021-10","356"
"2021-11","370"
"2021-12","305"
"2022-01","327"
"2022-02","337"
"2022-03","456"
"2022-04","334"
"2022-05","358"
"2022-06","404"
"2022-07","339"
"2022-08","370"
"2022-09","366"
"2022-10","316"
"2022-11","413"
"2022-12","320"
"2023-01","422"
"2023-02","331"
"2023-03","345"
"2023-04","234"
"2023-05","263"
"2023-06","282"
"2023-07","250"
"2023-08","239"
"2023-09","222"
"2023-10","318"
