Month,NumberOfQuestions
"2019-01","3"
"2019-02","2"
"2019-03","1"
"2019-04","3"
"2019-05","1"
"2019-06","3"
"2019-07","2"
"2019-08","24"
"2019-09","52"
"2019-10","47"
"2019-11","81"
"2019-12","88"
"2020-01","68"
"2020-02","66"
"2020-03","99"
"2020-04","104"
"2020-05","113"
"2020-06","127"
"2020-07","131"
"2020-08","120"
"2020-09","103"
"2020-10","130"
"2020-11","137"
"2020-12","128"
"2021-01","149"
"2021-02","144"
"2021-03","164"
"2021-04","156"
"2021-05","145"
"2021-06","152"
"2021-07","170"
"2021-08","197"
"2021-09","187"
"2021-10","171"
"2021-11","187"
"2021-12","180"
"2022-01","219"
"2022-02","227"
"2022-03","237"
"2022-04","233"
"2022-05","244"
"2022-06","241"
"2022-07","279"
"2022-08","269"
"2022-09","248"
"2022-10","260"
"2022-11","291"
"2022-12","298"
"2023-01","361"
"2023-02","331"
"2023-03","360"
"2023-04","295"
"2023-05","326"
"2023-06","291"
"2023-07","248"
"2023-08","245"
"2023-09","257"
"2023-10","227"
