Month,NumberOfQuestions
"2019-01","72"
"2019-02","74"
"2019-03","90"
"2019-04","69"
"2019-05","84"
"2019-06","100"
"2019-07","86"
"2019-08","72"
"2019-09","82"
"2019-10","108"
"2019-11","95"
"2019-12","81"
"2020-01","90"
"2020-02","97"
"2020-03","101"
"2020-04","121"
"2020-05","108"
"2020-06","98"
"2020-07","136"
"2020-08","111"
"2020-09","109"
"2020-10","128"
"2020-11","124"
"2020-12","93"
"2021-01","116"
"2021-02","112"
"2021-03","133"
"2021-04","139"
"2021-05","114"
"2021-06","146"
"2021-07","123"
"2021-08","129"
"2021-09","135"
"2021-10","137"
"2021-11","138"
"2021-12","140"
"2022-01","137"
"2022-02","142"
"2022-03","138"
"2022-04","153"
"2022-05","153"
"2022-06","124"
"2022-07","112"
"2022-08","121"
"2022-09","114"
"2022-10","95"
"2022-11","111"
"2022-12","130"
"2023-01","159"
"2023-02","131"
"2023-03","147"
"2023-04","101"
"2023-05","89"
"2023-06","100"
"2023-07","127"
"2023-08","119"
"2023-09","97"
"2023-10","90"
