PostId,PostTypeId,CreationDate,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount,ParentId,AcceptedAnswerId,Title,TagName
"65527512","1","2021-01-01 05:44:17","1","3450","1","0","","","65531080","Jenkins Organization Folder scan doesn't detect repositories","jenkins"
"65527557","1","2021-01-01 05:55:20","0","287","0","2","","","","Jenkins docker plugin does not work with systemd enabled CentOS image","jenkins"
"65527642","1","2021-01-01 06:13:13","1","756","1","2","","","","Jenkins unable to install plugin unknownhost","jenkins"
"65528041","1","2021-01-01 07:43:19","11","34236","2","2","","","65528095","Push existing folder to GitLab","gitlab-ci"
"65528272","1","2021-01-01 08:30:17","0","1621","1","0","","","","Apps running on Windows Containers are available only in Hyper-V Container enabled SKU","azure-devops"
"65528608","1","2021-01-01 09:33:40","0","408","1","3","","","65539277","Disable plugin not present in Jenkins","jenkins"
"65528810","1","2021-01-01 10:10:08","0","505","2","4","","","","How to run a shellscript from backgorund in Jenkins","jenkins"
"65530257","1","2021-01-01 13:56:54","0","178","1","3","","","65531121","Building r packages","travis-ci"
"65530775","1","2021-01-01 14:59:42","2","2878","1","6","","","","Github on-schedule action workflow executes in delay or not at all","github-actions"
"65531009","1","2021-01-01 15:30:57","0","74","1","3","","","65535331","How to make correct my azure deployment issue by rearranging my azure-pipelines.yml?","azure-devops"
"65531373","1","2021-01-01 16:13:31","1","1237","1","0","","","65535402","How to auto accept changes in chromatic github workflow for main branch?","github-actions"
"65532726","1","2021-01-01 18:57:30","4","4409","1","0","","","","GitHub actions ""extend"" existing job","github-actions"
"65534947","1","2021-01-02 00:19:55","3","7471","1","4","","","","How to keep docker images up to date?","jenkins"
"65534954","1","2021-01-02 00:21:23","1","692","1","2","","","","Jenkins Parallel Pipeline Builds","jenkins"
"65536296","1","2021-01-02 05:29:16","0","648","1","0","","","","jenkins build process running forever","jenkins"
"65536613","1","2021-01-02 06:35:41","0","1156","1","0","","","65558685","azcopy task in azure devops gives me failed to enum directory but not sure why","azure-devops"
"65537489","1","2021-01-02 09:07:32","0","92","1","2","","","65539320","travis-ci build for r package","travis-ci"
"65538036","1","2021-01-02 10:19:34","0","2089","1","0","","","65552502","How to configure gitlab-ce domain url on docker","gitlab-ci"
"65539974","1","2021-01-02 14:07:08","4","5027","1","4","","","","Code coverage is not showing up in SonarCloud after Azure devops build","azure-devops"
"65540023","1","2021-01-02 14:12:44","2","512","1","2","","","","Publishing NuGet package to Github","github-actions"
"65540305","1","2021-01-02 14:40:32","1","189","1","0","","","","Redirecting to the invalid URI. Jenkins in a docker container behind the Nginx","jenkins"
"65543404","1","2021-01-02 19:51:21","0","791","1","0","","","65543624","how to run a node.js github repository as a service in another repository on github actions","github-actions"
"65543489","1","2021-01-02 19:59:31","4","1884","1","3","","","65545568","GitHub actions conditional config","github-actions"
"65544011","1","2021-01-02 20:57:06","1","350","1","0","","","","Howto add db-owner to Azure SQL Server database in GitHub action","github-actions"
"65546391","1","2021-01-03 03:31:02","0","3464","1","0","","","65549852","Running gitlab pipelines before a merge request is published","gitlab-ci"
"65548886","1","2021-01-03 10:40:32","2","190","1","0","","","","Use firebase preview channel in gitlab merge request","gitlab-ci"
"65549050","1","2021-01-03 11:02:03","0","591","0","4","","","","CI with github Nodejs CI action fails unexpectedly","github-actions"
"65549484","1","2021-01-03 11:48:46","0","1680","2","4","","","65555763","Filtering xUnit Tests in pipeline AzureDevops","azure-devops"
"65549538","1","2021-01-03 11:55:30","0","998","1","7","","","65559342","Unable to download the source code in Azure DevOps Release","azure-devops"
"65550541","1","2021-01-03 13:49:13","1","5031","2","1","","","","How to resolve this ""org.sonarqube.ws.client.HttpException: Error 401"" error of SonarQube quality gates","jenkins"
"65550854","1","2021-01-03 14:22:08","1","1922","1","1","","","65586263","Git-Flow Maven Plugin: hotfix branch","jenkins"
"65551004","1","2021-01-03 14:36:01","0","624","1","0","","","65702820","jenkins with ldap : Test LDAP settings show two groups for user","jenkins"
"65552569","1","2021-01-03 17:04:25","0","210","0","2","","","","What will the below mentioned syntax do while running a Jenkins pipeline?agent [ label 'slave' ]","jenkins"
"65553146","1","2021-01-03 18:01:13","1","503","0","2","","","","Jenkins freestyle job: Difference between GitHub project URL and Git repositories","jenkins"
"65553616","1","2021-01-03 18:48:40","0","4349","1","2","","","","How to setup gitlab-runner to run docker command into gitlab-ci?","gitlab-ci"
"65553665","1","2021-01-03 18:55:29","1","100","1","1","","","","Error on circleci deployment on pspell debian","circleci"
"65556478","1","2021-01-04 00:50:04","0","66","1","0","","","65560016","How to restrict Devs to specific project in TFS","azure-devops"
"65557043","1","2021-01-04 02:36:53","0","517","1","0","","","65589327","Create Jira issue from Jenkins","jenkins"
"65557650","1","2021-01-04 04:21:47","0","1272","1","0","","","65557717","Building flutter app remotely through Github Actions Continuous Integration platform cannot find GoogleService-Info.plist file","github-actions"
"65557663","1","2021-01-04 04:24:01","0","729","1","3","","","65560446","Unable to Provision Azure VM From Jenkins After Setting up Cloud","jenkins"
"65557848","1","2021-01-04 04:57:22","0","465","1","0","","","65559165","Azure DevOps build pipelines fail when another build is already running","azure-devops"
"65558096","1","2021-01-04 05:36:15","0","1229","1","1","","","","jenkins inbound-agent cant reach master within kubernetes","jenkins"
"65558576","1","2021-01-04 06:36:39","0","1060","2","0","","","65558982","Azure web service ip address","azure-devops"
"65558724","1","2021-01-04 06:53:40","0","1705","1","0","","","65561181","Error posting to Slack - Docker jenkins unable to find valid certificate","jenkins"
"65559800","1","2021-01-04 08:41:27","0","178","1","1","","","","Creating single github repository with jenkins for each datastage jobs","jenkins"
"65560504","1","2021-01-04 09:42:54","0","1040","1","0","","","65575308","Unable to install Jenkins on Minikube using Helm due to the permission","jenkins"
"65561338","1","2021-01-04 10:45:24","0","443","2","2","","","65572994","Is port 9000 allowed in Microsoft hosted ubuntu agent in azure devops","azure-devops"
"65561926","1","2021-01-04 11:27:01","6","257","0","1","","","","Is it possible to only deploy specific Firebase functions that changed with GitLab CI/CD?","gitlab-ci"
"65562027","1","2021-01-04 11:35:22","0","2768","2","5","","","","ARM template error while deploying azure function app","azure-devops"
"65562449","1","2021-01-04 12:04:34","-1","572","1","2","","","","While spinning vm, getting error on key vault secret","azure-devops"
"65562884","1","2021-01-04 12:39:36","0","676","2","0","","","","Will Gitlab trigger all jobs that listen on a branch change when I run pipeline manually","gitlab-ci"
"65564847","1","2021-01-04 14:59:31","6","9530","1","0","","","65634838","run dependency jobs if condtion is true in gitlab pipeline","gitlab-ci"
"65565667","1","2021-01-04 15:55:59","1","1313","1","4","","","","Easiest method to Trigger Azure DevOps pipeline (CI) from Bitbucket?","azure-devops"
"65565858","1","2021-01-04 16:08:01","1","987","1","1","","","","In Azure DevOps, is it possible to enumerate children pipeline build artifacts recursively with API?","azure-devops"
"65567937","1","2021-01-04 18:31:13","0","1700","2","0","","","68088734","Downloading the latest binary from Artifactory via Declarative Pipeline","jenkins"
"65568332","1","2021-01-04 19:03:06","0","342","1","2","","","","how to save Save the output of the command, ""npm run migrations"" to a variable","circleci"
"65568378","1","2021-01-04 19:06:53","1","731","0","4","","","","Jenkins build from previous version","jenkins"
"65568638","1","2021-01-04 19:27:09","1","280","0","0","","","","Integrate Coverity Report into Jenkins Output","jenkins"
"65569631","1","2021-01-04 20:50:34","-1","9851","2","4","","","65570201","There was a resource authorization issue: ""The pipeline is not valid. > Job validate: Step TerraformTaskV1","azure-devops"
"65569776","1","2021-01-04 21:02:18","1","105","0","2","","","","Permissions for Generated folders and shared volume","jenkins"
"65569847","1","2021-01-04 21:08:10","0","540","2","0","","","65570546","Starting a build number from a specific number","azure-devops"
"65570394","1","2021-01-04 21:57:27","0","1268","1","1","","","65578879","kubectl suddently asking for username","gitlab-ci"
"65570514","1","2021-01-04 22:09:54","10","5569","1","0","","","","GitHub Actions: share common actions between jobs","github-actions"
"65570514","1","2021-01-04 22:09:54","10","5569","1","0","","","","GitHub Actions: share common actions between jobs","travis-ci"
"65570735","1","2021-01-04 22:32:26","0","649","1","0","","","65611978","Jenkins on K8s OIDC redirect behind Nginx Reverse Proxy","jenkins"
"65571158","1","2021-01-04 23:20:49","0","160","1","0","","","","Do artifacts have to upload to gitlab to be reused between stages?","gitlab-ci"
"65571664","1","2021-01-05 00:26:55","1","4314","2","0","","","65619737","azure devops shows 'set up build' button","azure-devops"
"65571673","1","2021-01-05 00:27:44","0","1311","1","2","","","65571981","Skipping kubernetes service creation if it already exists with github actions","github-actions"
"65572031","1","2021-01-05 01:26:17","0","241","1","0","","","","Jenkinsfile sharing variable globally","jenkins"
"65572496","1","2021-01-05 02:40:32","0","540","1","0","","","","In the gitlab-runner, How can I keep the build/?","gitlab-ci"
"65573315","1","2021-01-05 04:34:23","0","698","2","2","","","65573856","Azure Postgres Oracle Foreign Data Wrapper","azure-devops"
"65573815","1","2021-01-05 05:42:14","0","1740","1","3","","","65575332","Maven parent and child pom auto-increment version using Azure devops","azure-devops"
"65574048","1","2021-01-05 06:18:20","2","788","1","1","","","65589300","Azure DevOps pipeline with Flutter Drive test framwork and AppCenter device sets","azure-devops"
"65574488","1","2021-01-05 07:08:39","1","201","1","0","","","65575087","why azure artifacts include all reference 3rd packages","azure-devops"
"65574667","1","2021-01-05 07:25:33","5","3108","1","3","","","65650260","Being able to download a Github Actions artifact by copy-past the link URL to curl?","github-actions"
"65575797","1","2021-01-05 08:59:23","0","1706","1","0","","","65576322","Migration from Jira to Azure DevOps using Solidify tool","azure-devops"
"65575931","1","2021-01-05 09:08:55","0","583","1","0","","","65575985","Jenkins Plugin ssh Publisher not able to copy file to ansible server","jenkins"
"65576285","1","2021-01-05 09:32:24","4","15173","4","4","","","65687816","Docker login on ECR fails with 400 Bad Request on Powershell from Jenkins","jenkins"
"65576429","1","2021-01-05 09:43:47","1","488","1","0","","","","Jenkins git branch selection on scm triggered builds","jenkins"
"65576586","1","2021-01-05 09:54:17","2","1264","1","1","","","","Files removed during pipeline","gitlab-ci"
"65576685","1","2021-01-05 10:00:21","-2","1648","1","1","","","65576757","install php and composer inside jenkins container","jenkins"
"65576870","1","2021-01-05 10:12:13","1","741","1","0","","","65576909","How to pass JSON string in the JSON body of an HTTP request?","azure-devops"
"65576927","1","2021-01-05 10:15:54","21","14119","3","0","","","65966234","GitHub Actions: ""You've used 100% of included services for GitHub Storage (GitHub Actions and Packages)"" after deleting all Artifacts","github-actions"
"65578053","1","2021-01-05 11:32:15","0","1274","1","0","","","","Containerized jenkins : Cant find the /var/lib/jenkins folder","jenkins"
"65578241","1","2021-01-05 11:46:17","2","1693","0","6","","","","How to correctly pass credentials to ssh-steps-plugin's `sshCommand` without using string interpolation?","jenkins"
"65578334","1","2021-01-05 11:51:12","3","5582","1","0","","","65578559","GitHub actions and Docker-compose","github-actions"
"65578466","1","2021-01-05 12:00:14","0","3373","1","0","","","65579103","Use github action to push specific file extentions to azure storage account","github-actions"
"65578767","1","2021-01-05 12:17:27","2","3420","1","0","","","65579430","What does `only: -master` in gitlab-ci.yml match?","gitlab-ci"
"65579131","1","2021-01-05 12:40:47","-1","83","1","1","","","","not able to connect to already created EKS fargate cluster need it for deploying from azur pipeline","azure-devops"
"65579807","1","2021-01-05 13:25:53","1","116","1","0","","","","BDD SeleniumGRID ChromeDriver initiated Exception in Jenkins Pipeline","jenkins"
"65580277","1","2021-01-05 13:56:21","0","1558","1","1","","","65593399","How do I perform health-check for on premises IIS app behind firewall using Azure DevOps release pipeline","azure-devops"
"65580564","1","2021-01-05 14:14:03","1","566","1","0","","","65590699","'Centralized' wiki and repo in azure devops?","azure-devops"
"65580635","1","2021-01-05 14:18:11","0","1647","1","0","","","65589212","Azure VM Custom script extension identity access to Storage Account","azure-devops"
"65580689","1","2021-01-05 14:21:05","5","8195","1","2","","","65580859","How we can disable merge of a pull request in github if any check fails in the CI job","github-actions"
"65580755","1","2021-01-05 14:25:36","2","1499","1","0","","","65592297","Maven release:perform on azure pipeline fails as it can't read password for the repo","azure-devops"
"65580883","1","2021-01-05 14:34:09","0","127","1","0","","","65581371","Error when I run the Visual studio run task in CI","azure-devops"
"65581308","1","2021-01-05 14:58:08","0","372","1","0","","","","Automating Jenkins Job with extended choice parameter","jenkins"
"65581532","1","2021-01-05 15:12:06","-1","13497","1","3","","","","Groovy compilation error for simple pipeline “unexpected token”","jenkins"
"65581796","1","2021-01-05 15:29:28","2","662","1","0","","","","How to do npm install just once in pipeline CircleCI","circleci"
"65581896","1","2021-01-05 15:36:08","2","128","1","0","","","65582146","Querying builds from TFS with QueryBuilds has very low performance","azure-devops"
"65581955","1","2021-01-05 15:39:31","0","613","1","3","","","65589639","Add a group to all service connections in ADO","azure-devops"
"65582153","1","2021-01-05 15:50:51","2","404","1","0","","","65595908","Azure DevOps - Branch Policies are resulting in multiple builds running during Pull Requests","azure-devops"
"65582164","1","2021-01-05 15:51:35","0","1717","2","0","","","","In Azure DevOps, is there a way to hide Iteration and Area fields in custom work item types?","azure-devops"
"65582227","1","2021-01-05 15:55:44","0","197","1","7","","","","Deploying every GitHub PR to separate Azure instances","azure-devops"
"65582737","1","2021-01-05 16:24:45","2","1405","2","0","","","","How to read tag name using workflow_run","github-actions"
"65582973","1","2021-01-05 16:38:34","1","799","1","0","","","","Jenkins: How to keep container running and copy artifacts out of container to host machine","jenkins"
"65583737","1","2021-01-05 17:30:22","-1","390","1","0","","","","How to restructure an azure functions project that's deployed with azure static web apps?","github-actions"
"65583944","1","2021-01-05 17:44:54","0","896","0","2","","","","Unable to test electron desktop application on GitHub-Action Workflow ""exited with signal SIGABRT""","github-actions"
"65584209","1","2021-01-05 18:03:35","13","17024","1","0","","","65590299","How to set an azure devops pipeline result as success even if one of the job fails","azure-devops"
"65584328","1","2021-01-05 18:12:08","0","188","1","0","","","","Jenkins cannot start after disk restored from snapshot","jenkins"
