Month,NumberOfQuestions
"2019-01","27"
"2019-02","21"
"2019-03","19"
"2019-04","31"
"2019-05","29"
"2019-06","23"
"2019-07","27"
"2019-08","23"
"2019-09","28"
"2019-10","20"
"2019-11","23"
"2019-12","19"
"2020-01","24"
"2020-02","14"
"2020-03","23"
"2020-04","19"
"2020-05","26"
"2020-06","25"
"2020-07","16"
"2020-08","29"
"2020-09","20"
"2020-10","21"
"2020-11","17"
"2020-12","18"
"2021-01","21"
"2021-02","22"
"2021-03","19"
"2021-04","15"
"2021-05","10"
"2021-06","16"
"2021-07","6"
"2021-08","11"
"2021-09","18"
"2021-10","19"
"2021-11","10"
"2021-12","16"
"2022-01","15"
"2022-02","22"
"2022-03","25"
"2022-04","23"
"2022-05","17"
"2022-06","18"
"2022-07","18"
"2022-08","21"
"2022-09","14"
"2022-10","17"
"2022-11","13"
"2022-12","23"
"2023-01","23"
"2023-02","21"
"2023-03","20"
"2023-04","15"
"2023-05","16"
"2023-06","14"
"2023-07","12"
"2023-08","7"
"2023-09","9"
"2023-10","7"
