Month,NumberOfQuestions
"2019-01","513"
"2019-02","482"
"2019-03","495"
"2019-04","468"
"2019-05","474"
"2019-06","400"
"2019-07","466"
"2019-08","390"
"2019-09","421"
"2019-10","442"
"2019-11","422"
"2019-12","375"
"2020-01","459"
"2020-02","418"
"2020-03","438"
"2020-04","460"
"2020-05","425"
"2020-06","408"
"2020-07","424"
"2020-08","414"
"2020-09","396"
"2020-10","350"
"2020-11","287"
"2020-12","276"
"2021-01","300"
"2021-02","316"
"2021-03","327"
"2021-04","321"
"2021-05","302"
"2021-06","342"
"2021-07","299"
"2021-08","301"
"2021-09","277"
"2021-10","273"
"2021-11","306"
"2021-12","242"
"2022-01","247"
"2022-02","269"
"2022-03","281"
"2022-04","235"
"2022-05","245"
"2022-06","295"
"2022-07","275"
"2022-08","268"
"2022-09","276"
"2022-10","239"
"2022-11","307"
"2022-12","300"
"2023-01","296"
"2023-02","294"
"2023-03","331"
"2023-04","215"
"2023-05","240"
"2023-06","219"
"2023-07","212"
"2023-08","216"
"2023-09","210"
"2023-10","175"
