PostId,PostTypeId,CreationDate,Score,ViewCount,AnswerCount,CommentCount,FavoriteCount,ParentId,AcceptedAnswerId,Title,TagName
"74972974","1","2023-01-01 03:17:24","1","72","0","8","","","","Simple CICD workflow for small-scale deployments?","jenkins"
"74973270","1","2023-01-01 05:46:00","0","545","1","5","","","","CORS error with jenkins job invoked from javascript buildWithParameters","jenkins"
"74973574","1","2023-01-01 07:46:40","2","956","2","5","","","74973794","Trigger GitHub Actions Only for a Sub Module in a Multi Module Project","github-actions"
"74974256","1","2023-01-01 11:06:16","3","1427","1","1","","","74974622","GitHub Actions Not Triggered on Pushing Tags","github-actions"
"74974342","1","2023-01-01 11:28:11","1","389","1","0","","","","how to scan repos in Azuredevops and filter certain files","azure-devops"
"74974588","1","2023-01-01 12:25:46","0","99","1","1","","","","Security recommendations around granting 'Sites.FullControl' permission to Azure pipeline (Service connection object)","azure-devops"
"74974755","1","2023-01-01 13:03:55","-1","298","1","0","","","","automated repo creation and permission in Azuredevops","azure-devops"
"74975260","1","2023-01-01 14:45:39","0","5290","2","0","","","75002402","Error: PythonPipBuilder:Validation - Binary validation failed for python","github-actions"
"74975365","1","2023-01-01 15:07:16","2","57","0","3","","","","How to run Julia codes with a windows10 machine in Jenkins?","jenkins"
"74976468","1","2023-01-01 18:10:08","0","153","1","1","","","","How do I handle a string that has all 3 type of quotes? ("""", '', ``)?","github-actions"
"74977229","1","2023-01-01 20:32:07","1","675","1","8","","","75055958","Github Actions Reusable Workflows Secrets Not working","github-actions"
"74977355","1","2023-01-01 20:57:23","10","3340","1","2","","","74987991","How to configure GitLab CI/CD for .NET 7 Maui (Android)","gitlab-ci"
"74978280","1","2023-01-02 00:48:57","1","115","1","2","","","","Github commands for putting a new file","github-actions"
"74978980","1","2023-01-02 04:24:20","0","76","1","0","","","","Is there a conversations.setTopic for Slack Notification plugin","jenkins"
"74979074","1","2023-01-02 04:52:06","0","54","0","2","","","","CircleCI mongo executor failed","circleci"
"74979587","1","2023-01-02 06:41:42","0","786","2","0","","","74979902","Azure Devops release pipeline for local on-demand kubernetes deployment","azure-devops"
"74979676","1","2023-01-02 06:55:55","1","363","2","0","","","74983315","Package Deployer to sequence Solutions and Data File","azure-devops"
"74979812","1","2023-01-02 07:19:15","0","160","1","0","","","","While running Swashbuckle CLI I am getting error Unhandled exception. System.IO.FileNotFoundException: From Azure pipelines","azure-devops"
"74980610","1","2023-01-02 09:13:15","0","208","1","2","","","74982733","How do I view the masked ""commandOutput"" in Azure Pipelines?","azure-devops"
"74980829","1","2023-01-02 09:39:30","1","2548","1","6","","","75027404","Job getting succeeded even when there is an error in gitlab-ci","gitlab-ci"
"74981009","1","2023-01-02 10:00:34","1","488","1","0","","","74981061","npm install failing in git action but working locally","github-actions"
"74981280","1","2023-01-02 10:28:30","0","386","1","2","","","","Reference a different Variable group per stage - stage per environment in environments - Azure Devops, template, variable groups","azure-devops"
"74982009","1","2023-01-02 11:43:28","1","245","1","0","","","74982601","Run different stages/templates of azure pipeline at different schedules","azure-devops"
"74982124","1","2023-01-02 11:56:04","6","2163","3","2","","","","SAM build from GitHub actions suddenly failing today: module 'lib' has no attribute 'OpenSSL_add_all_algorithms","github-actions"
"74982865","1","2023-01-02 13:14:26","1","144","0","3","","","","sbt publish generates html instead of class","gitlab-ci"
"74983050","1","2023-01-02 13:32:25","0","968","1","0","","","","Jenkins Pipeline OWASP Dependency Check Failing Build","jenkins"
"74983875","1","2023-01-02 14:55:33","-2","238","1","0","","","","Test suites in Azure DevOps","azure-devops"
"74984259","1","2023-01-02 15:34:36","0","91","1","4","","","74988649","deployment dependencies condition skipped azure pipeline","azure-devops"
"74984333","1","2023-01-02 15:42:17","1","540","2","0","","","75006392","Launch tests selenium/standalone-chrome gitlab-ci","gitlab-ci"
"74984344","1","2023-01-02 15:42:55","0","167","0","2","","","","How can i define a job in gitlab-ci.yaml which gets triggerd when deleting an environment?","gitlab-ci"
"74984471","1","2023-01-02 15:54:33","0","344","1","0","","","74987877","Cant set Features or Epics to active in Azure Devops Server","azure-devops"
"74986090","1","2023-01-02 18:59:04","0","1410","1","2","","","","How to get or identify unique id or descriptor from Azure devops Profile REST API","azure-devops"
"74986192","1","2023-01-02 19:10:16","2","1168","1","2","","","","How to prevent gitlab pipeline from running twice when pushing a tag","gitlab-ci"
"74987303","1","2023-01-02 21:44:52","0","509","1","0","","","74987343","How can I get a branch name on a closed pull request?","github-actions"
"74987907","1","2023-01-02 23:31:13","0","1216","1","0","","","74988087","Github actions failing to pip install python package with dependency on submodule python package","github-actions"
"74988232","1","2023-01-03 00:52:04","1","118","0","3","","","","Groovy script not working in jenkins active choice reactive parameter","jenkins"
"74988983","1","2023-01-03 04:13:24","0","320","1","6","","","74989804","Pipeline failed to Add the App registration Client secret password to Azure Key vault secret","azure-devops"
"74989290","1","2023-01-03 05:20:04","0","350","1","0","","","","I can't able to upload an artifact to GitHub","github-actions"
"74990026","1","2023-01-03 07:08:07","1","76","0","0","","","","React App slowly exhausts file descriptor limit on Ubuntu server and crashes in few days","jenkins"
"74990549","1","2023-01-03 08:07:20","1","150","0","0","","","","Cannot deploy React app to Firebase hosting properly from github Action","github-actions"
"74990586","1","2023-01-03 08:11:05","0","254","1","3","","","","Azure Resource Pipeline trigger not working","azure-devops"
"74991055","1","2023-01-03 08:55:53","0","321","1","0","","","74992079","How to copy a file to ec2 via ssh? (CI/CD using gitlab CI)","gitlab-ci"
"74991165","1","2023-01-03 09:07:36","1","745","0","2","","","","Cypress hangs on CI","github-actions"
"74991203","1","2023-01-03 09:13:27","0","1490","1","0","","","74993338","Azure pipeline dynamic creation of variables based on parameters","azure-devops"
"74991262","1","2023-01-03 09:18:34","-3","320","2","0","","","","Terraform resource with the ID already exists","azure-devops"
"74991262","1","2023-01-03 09:18:34","-3","320","2","0","","","","Terraform resource with the ID already exists","github-actions"
"74991853","1","2023-01-03 10:11:28","1","34","0","0","","","","Add a job to a Gitlab pipeline if a tools exit code is 0","gitlab-ci"
"74992296","1","2023-01-03 10:46:54","-1","24","1","0","","","","Inject a password with Jenkins","jenkins"
"74992496","1","2023-01-03 11:05:49","1","870","2","0","","","75011778","Jenkins pipeline with a conditional trigger","jenkins"
"74992532","1","2023-01-03 11:09:22","0","373","1","0","","","","How to use set variables option in azure classic pipeline","azure-devops"
"74993333","1","2023-01-03 12:24:05","1","485","1","0","","","","How to use azure pipeline to deploy jar files to azure artifact using maven task","azure-devops"
"74993492","1","2023-01-03 12:38:52","1","148","0","1","","","","Delay in loading console output","jenkins"
"74993830","1","2023-01-03 13:11:58","1","579","0","5","","","","PHPUnit feature tests pass locally but not in Github Actions","github-actions"
"74994015","1","2023-01-03 13:28:36","0","1662","1","1","","","","Azure login cli for github actions without subscription","github-actions"
"74994552","1","2023-01-03 14:15:10","1","4232","2","0","","","75002390","Azure DevOps Work item custom field as checkbox","azure-devops"
"74994565","1","2023-01-03 14:16:13","2","373","0","0","","","","Webpack fail when running next build in gitlab ci (works fine locally) typescript","gitlab-ci"
"74994823","1","2023-01-03 14:38:03","1","1465","2","0","","","77888184","Error when cloning repo in github actions: could not read Password for 'https://***@github.com': No such device or address","github-actions"
"74994924","1","2023-01-03 14:47:42","1","602","1","1","","","","How to make a rest call in Azure pipeline then use the response to make another call?","azure-devops"
"74995186","1","2023-01-03 15:11:05","0","478","0","5","","","","How can I capture the git branch name in Azure DevOps release name?","azure-devops"
"74995272","1","2023-01-03 15:19:23","2","88","0","0","","","","I am not getting a “Build failed” rule trigger in Jira for Gitlab pipelines with jobs on “push”","gitlab-ci"
"74995632","1","2023-01-03 15:52:42","1","364","1","0","","","","Check cherry-pick in parent branch","gitlab-ci"
"74995873","1","2023-01-03 16:15:18","1","390","2","3","","","75033332","Get Azure Principal ID for AzDO","azure-devops"
"74995935","1","2023-01-03 16:21:40","1","2740","1","2","","","75041063","Use current date in github actions inputs","github-actions"
"74996253","1","2023-01-03 16:48:46","0","373","1","0","","","","Display job requests API ADO with includeCapabilities","azure-devops"
"74996263","1","2023-01-03 16:49:36","2","1127","1","0","","","74997644","Enable GitHub Dependabot Updates for actions used in Composite actions","github-actions"
"74996468","1","2023-01-03 17:08:09","0","88","1","1","","","75014397","To update a yaml file using yq command through jenkins pipeline","jenkins"
"74996557","1","2023-01-03 17:16:07","0","1775","2","2","","","","Azure devops pipeline variable for a task step name","azure-devops"
"74996615","1","2023-01-03 17:22:38","0","468","2","4","","","75007134","Why am I getting Application Error on Azure Devops Deploy?","azure-devops"
"74996678","1","2023-01-03 17:28:01","0","26","0","4","","","","Is there a way to deploy a node.js web app to GitHub pages using GitHub actions?","github-actions"
"74996875","1","2023-01-03 17:46:31","0","1603","2","0","","","74997409","How to read file through jenkins from github","jenkins"
"74997367","1","2023-01-03 18:34:02","1","874","1","4","","","74999327","Unable to pass workflow input variable as input to action","github-actions"
"74997676","1","2023-01-03 19:06:31","0","175","1","3","","","75000290","Unable to get the value of variable inside a variable in azure release pipeline","azure-devops"
"74997798","1","2023-01-03 19:20:50","0","76","1","1","","","","Does setting up SSL for Azure devops on permises impact already configured deployment group agents using http","azure-devops"
