Month,NumberOfQuestions
"2019-01","36"
"2019-02","37"
"2019-03","44"
"2019-04","49"
"2019-05","71"
"2019-06","44"
"2019-07","48"
"2019-08","27"
"2019-09","24"
"2019-10","40"
"2019-11","33"
"2019-12","22"
"2020-01","30"
"2020-02","21"
"2020-03","44"
"2020-04","34"
"2020-05","33"
"2020-06","22"
"2020-07","25"
"2020-08","24"
"2020-09","15"
"2020-10","10"
"2020-11","21"
"2020-12","17"
"2021-01","14"
"2021-02","7"
"2021-03","24"
"2021-04","13"
"2021-05","11"
"2021-06","4"
"2021-07","9"
"2021-08","9"
"2021-09","10"
"2021-10","6"
"2021-11","3"
"2021-12","3"
"2022-01","2"
"2022-02","2"
"2022-03","6"
"2022-04","2"
"2022-05","5"
"2022-06","1"
"2022-07","2"
"2022-08","3"
"2022-09","5"
"2022-10","3"
"2022-11","3"
"2022-12","4"
"2023-01","4"
"2023-02","2"
"2023-03","2"
"2023-04","1"
"2023-05","1"
"2023-07","1"
"2023-08","3"
"2023-09","3"
"2023-10","1"
