AnswerId,QuestionId,AnswerCreationDate,AnswerScore,AnswerBody,AnswerAuthorId,AnswerAuthorName
"57521953","57509118","2019-08-16 09:15:47","4","<p>As mentioned in the <a href=""https://help.github.com/en/articles/workflow-syntax-for-github-actions#jobs"" rel=""nofollow noreferrer"">Workflow syntax docs</a>:</p>

<blockquote>
  <p>Each job runs in a fresh instance of the virtual environment specified by runs-on.</p>
</blockquote>

<p>From what I can see here, you're doing the checkout step in a completely separate job from others. Doing it that way it does not affect other jobs in any way. It should actually be defined <em>inside</em> those jobs where your npm CLI commands are executed.</p>

<p>Here's an example of how it would look like in one of your jobs:</p>

<pre><code>jobs:
  # (...) Other jobs
  # Install Dependencies
  install_dependencies:
    name: Install Dependencies
    runs-on: ubuntu-latest
    strategy:
      matrix:
        node-version: [10.x]
    steps:
    - uses: actions/checkout@master
    - run: yarn dep:install-npm
    needs: checkout
  # (...) Other jobs
</code></pre>

<p>There are some general examples in <a href=""https://github.com/actions/starter-workflows/blob/master/ci/npm-publish.yml"" rel=""nofollow noreferrer"">GitHub starter workflow templates</a>.</p>
","7029969",""
"57806894","57806624","2019-09-05 13:43:24","121","<p>If I understand your needs, you need the <code>pub</code> steps to run as if you'd done a <code>cd dart_project</code> first, right? Add the <a href=""https://help.github.com/en/articles/workflow-syntax-for-github-actions#jobsjob_idstepsworking-directory"" rel=""noreferrer""><code>working-directory</code></a> parameter to your steps:</p>
<pre><code>steps:
- uses: actions/checkout@v1
- name: Install dependencies
  run: pub get
  working-directory: dart_project
- name: Run tests
  run: pub run test
  working-directory: dart_project
</code></pre>
<p>If you want to apply it to every step, use the tag <code>defaults</code></p>
<pre class=""lang-yaml prettyprint-override""><code>defaults:
  run:
    working-directory: dart_project
</code></pre>
<p>I believe that should be all you need.</p>
","2314532",""
"69494898","57806624","2021-10-08 11:09:05","36","<p>You can configure a <code>working-directory</code> on the step level for this purpose.
You can also configure a default directory for the steps. Defaults can be on job or global level.</p>
<p>Example on step level.</p>
<pre class=""lang-yaml prettyprint-override""><code>jobs:
  build:
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
        working-directory: dart_project
      - name: Run tests
        run: pub run test
        working-directory: dart_project
</code></pre>
<p>Example on job level. This reduces duplication on the job level. This is suited for a job that is working on a sub-directory.</p>
<pre class=""lang-yaml prettyprint-override""><code>jobs:
  build:
    defaults:
      run:
        working-directory: dart_project
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
      - name: Run tests
        run: pub run test
</code></pre>
<p>Example on global level. This reduces duplication on the global level. This is suited when all jobs in the workflow file are for a project located in a sub-directory.</p>
<pre class=""lang-yaml prettyprint-override""><code>defaults:
  run:
    working-directory: dart_project
jobs:
  build:
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
      - name: Run tests
        run: pub run test
</code></pre>
","1485189",""
"57841564","57839795","2019-09-08 11:34:53","6","<p>Your job is configured to run in an <code>alpine-latest</code> environment, but <a href=""https://help.github.com/en/articles/virtual-environments-for-github-actions"" rel=""noreferrer"">GitHib doesn't provide <code>alpine-latest</code> as one of their workflow environments</a>. Your choices are <code>ubuntu-latest</code>, <code>macOS-latest</code>, <code>windows-latest</code>, or a specific version of one of those three OSes. Change <code>runs-on: alpine-latest</code> to <code>runs-on: ubuntu-latest</code> and your workflow should start.</p>
","2314532",""
"64873291","57839795","2020-11-17 10:18:28","0","<p>Although this doesn't answer the specific OP question, search engines bring us here, looking for the answer to why one's pipeline is stuck on &quot;Starting your workflow run...&quot;</p>
<p>If you are running your runner in a container, the chances are, Github has released a new version of the runner and your container is trying to update itself.
You can check the below URL to see when Github released the latest version:
<a href=""https://github.com/actions/runner/releases"" rel=""nofollow noreferrer"">https://github.com/actions/runner/releases</a></p>
<p>There are a lot of requests for Github to provide a feature to stop automatic updates, but to date (17/11/2020) they refuse to do so, claiming they need the auto-update functionality to support new features.</p>
<p>The suggested workaround is to develop a build pipeline for your container that builds automatically when they push a new release.</p>
","3167379",""
"58230268","58222386","2019-10-04 05:11:22","15","<p>I spent some time trying different things to get this to work. I found a solution, but quite honestly, I'm not sure <em>why</em> it works. I simply added <code>-h 127.0.0.1</code> to the mysql command.</p>

<p>I also added the health check flags to <code>options</code> to make sure the service is able to accept requests.</p>

<p>This is a working workflow:</p>

<pre><code>name: CI
on: push
jobs:
  build:
    runs-on: ubuntu-latest
    services:
      mysql:
        image: mysql:8.0
        env:
          MYSQL_ROOT_PASSWORD: password
          MYSQL_DATABASE: test
        ports:
            - '8888:3306'
        options: --health-cmd=""mysqladmin ping"" --health-interval=10s --health-timeout=5s --health-retries=3
    steps:
      - uses: actions/checkout@v1
      - run: mysql -h 127.0.0.1 --port 8888 -u root -ppassword -e 'CREATE DATABASE IF NOT EXISTS test;'
</code></pre>
","11934042",""
"58636619","58630097","2019-10-31 03:40:17","11","<p>I think you can resolve it by associating <code>master</code> with <code>origin master</code> like this:</p>

<pre><code>git fetch origin master:master
git diff --name-only master
</code></pre>

<p>Be aware that events that trigger <code>on: pull_request</code> workflows are not associated with a branch, they are associated with a merge commit SHA. So <code>actions/checkout@v1</code> by default will checkout the merge commit specified by <code>GITHUB_SHA</code>, not the branch that is merging into the base. See the <a href=""https://help.github.com/en/github/automating-your-workflow-with-github-actions/events-that-trigger-workflows#pull-request-event-pull_request"" rel=""noreferrer"">documentation here</a>. </p>

<p>You can override this default behaviour and checkout the branch merging into the base like this:</p>

<pre><code>      - uses: actions/checkout@master
        with:
          ref: ${{ github.head_ref }}
</code></pre>

<p>I'm not sure if this will be necessary for your use case, but there might be unintended effects when running <code>diff</code> on the merge commit.</p>
","11934042",""
"58661967","58643905","2019-11-01 15:37:43","28","<p>Luckily the <code>aws-sdk</code> should <a href=""https://docs.aws.amazon.com/sdk-for-javascript/v2/developer-guide/loading-node-credentials-environment.html"" rel=""noreferrer"">automatically detect credentials</a> set as environment variables and use them for requests</p>
<p>To get access to secrets in your action, you need to set them in the repo. Then you can expose them to the step as an env var.</p>
<p>For more details see <a href=""https://docs.github.com/en/actions/reference/encrypted-secrets"" rel=""noreferrer"">GitHub Encrypted secrets</a></p>
<ol>
<li>On GitHub, navigate to the main page of the repository</li>
<li>Under your repository name, click the ⚙ Settings tab</li>
<li>Repository settings button</li>
<li>In the left sidebar, click Secrets</li>
<li>Type a name for your secret in the &quot;Name&quot; input box</li>
<li>Type the value for your secret</li>
<li>Click Add secret</li>
</ol>
<p>In your case you will want to add secrets for both <code>AWS_ACCESS_KEY_ID</code> and <code>AWS_SECRET_ACCESS_KEY</code>.</p>
<p>Now that those are set you can pass those values into the action via the workflow yaml:</p>
<pre><code>steps:
...
- name: Unit Test
  uses: ...
  env:
    AWS_ACCESS_KEY_ID: ${{ secrets.AWS_ACCESS_KEY_ID }}
    AWS_SECRET_ACCESS_KEY: ${{ secrets.AWS_SECRET_ACCESS_KEY }}
  run: ...
</code></pre>
","19839",""
"63353159","58643905","2020-08-11 07:06:27","0","<p>If running <code>aws</code> from the command line is acceptable for you, you can set the following ENV vars and just use <code>aws</code> commands without needing to run <code>aws configure</code>:</p>
<pre><code>env:
  AWS_ACCESS_KEY_ID: ${{ secrets.AWS_ACCESS_KEY_ID }}
  AWS_SECRET_ACCESS_KEY: ${{ secrets.AWS_SECRET_ACCESS_KEY }}
  AWS_DEFAULT_REGION: us-east-1
  AWS_DEFAULT_OUTPUT: json
</code></pre>
","2771889",""
"66456314","58643905","2021-03-03 11:38:52","6","<p>Take a look at: <a href=""https://github.com/aws-actions/configure-aws-credentials"" rel=""noreferrer"">https://github.com/aws-actions/configure-aws-credentials</a></p>
<p>It allows you to configure AWS credential and region environment variables for use in other GitHub Actions. The environment variables will be detected by both the AWS SDKs and the AWS CLI to determine the credentials and region to use for AWS API calls.</p>
","3156607",""
