AnswerId,QuestionId,AnswerCreationDate,AnswerScore,AnswerBody,AnswerAuthorId,AnswerAuthorName
"58004257","57503578","2019-09-19 05:30:33","17","<p>I made a GitHub Action that I think will help you with this use case.
<a href=""https://github.com/peter-evans/create-pull-request"" rel=""nofollow noreferrer"">https://github.com/peter-evans/create-pull-request</a></p>
<p><code>create-pull-request</code> action needs to be run in conjunction with other actions or steps that modify or add files to your repository. The changes will be automatically committed to a new branch and a pull request created.</p>
<p>Here is an example that sets most of the main inputs.</p>
<pre><code>on:
  repository_dispatch:
    types: [create-pull-request]
name: Create Pull Request
jobs:
  createPullRequest:
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v3
      - name: Create report file
        run: date +%s &gt; report.txt
      - name: Create Pull Request
        uses: peter-evans/create-pull-request@v5
        with:
          commit-message: Add report file
          committer: Peter Evans &lt;peter-evans@users.noreply.github.com&gt;
          body: |
            New report
            - Contains *today's* date
            - Auto-generated by [create-pull-request][1]

            [1]: https://github.com/peter-evans/create-pull-request
          title: '[Example] Add report file'
          labels: report, automated pr
          assignees: peter-evans
          reviewers: peter-evans
          milestone: 1
          branch: example-patches
</code></pre>
<p>To make it bot-like you can trigger the workflow periodically.</p>
<pre><code>on:
 schedule:
   - cron: '*/5 * * * *'
</code></pre>
<p>Alternatively, you can set the workflow to trigger via webhook, as in the example above.</p>
<pre><code>on:
  repository_dispatch:
    types: [create-pull-request]
</code></pre>
<p>To trigger the workflow call the following. <code>[username]</code> is a GitHub username. <code>[token]</code> is a <code>repo</code> scoped token. <code>[repository]</code> is the name of the repository the workflow resides in.</p>
<pre><code>curl -XPOST -u &quot;[username]:[token]&quot; -H &quot;Accept: application/vnd.github.everest-preview+json&quot; -H &quot;Content-Type: application/json&quot; https://api.github.com/repos/[username]/[repository]/dispatches --data '{&quot;event_type&quot;: &quot;create-pull-request&quot;}'
</code></pre>
<p>For further examples check out the <a href=""https://github.com/peter-evans/create-pull-request/blob/main/docs/examples.md"" rel=""nofollow noreferrer"">documentation here</a>.</p>
","11934042",""
"57639714","57639507","2019-08-24 16:29:54","4","<p>You need to pass the name of the service (<code>&quot;postgres&quot;</code>) as <code>POSTGRES_HOST</code> to the application <em>and</em> set the port <code>POSTGRES_PORT: ${{ job.services.postgres.ports[5432] }}</code> (spaces matter.)</p>
<p>Github CI dynamically routes port and host to it.</p>
<p>I wrote a <a href=""http://rocket-science.ru/hacking/2019/08/19/use-github-ci-for-elixir-projects"" rel=""nofollow noreferrer"">blog post</a> on the subject a couple of days ago.</p>
","2035262",""
"58025355","57889719","2019-09-20 09:13:54","44","<p><strong>Second Update:</strong>
I got an answer in the <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-714501802"" rel=""noreferrer"">GitHub issue</a> from <code>jcansdale</code> that says (haven't tested this):</p>
<blockquote>
<p>Support for the dotnet nuget push --api-key option has now been added to GitHub Packages. For some reason this works consistently, but using basic auth (password in nuget.config file) fails randomly!</p>
</blockquote>
<p>Example:</p>
<pre><code>  - name: Publish Nuget to GitHub registry
    run: dotnet nuget push ./&lt;project&gt;/out/*.nupkg -k ${GITHUB_TOKEN} -s https://nuget.pkg.github.com/&lt;organization&gt;/index.json --skip-duplicate --no-symbols 
    env:
      GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
</code></pre>
<p><strong>Update:</strong>
Based on <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-599056152"" rel=""noreferrer"">Dids answer on GitHub</a> my configuration works now like this:</p>
<pre><code>name: NuGet Generation

on:
  push:
    branches:
      - master
  pull_request:
    types: [closed]
    branches:
      - master

jobs:
  build:
    runs-on: ubuntu-18.04
    name: Update NuGet package
    steps:

      - name: Checkout repository
        uses: actions/checkout@v1

      - name: Setup .NET Core @ Latest
        uses: actions/setup-dotnet@v1
        with:
          source-url: https://nuget.pkg.github.com/&lt;organization&gt;/index.json
        env:
          NUGET_AUTH_TOKEN: ${{secrets.GITHUB_TOKEN}}        
          
      - name: Build solution and generate NuGet package
        run: |  
          cd &lt;project&gt;
          dotnet pack -c Release -o out  

      - name: Push generated package to GitHub registry
        run: dotnet nuget push ./&lt;project&gt;/out/*.nupkg --skip-duplicate --no-symbols true

</code></pre>
<p><strong>Note:</strong> At the time of writing I needed to use <code>--no-symbols true</code> instead of <code>--no-symbols</code> to prevent exceptions in the dotnet NuGet client.</p>
<hr />
<p><strong>Old answer:</strong></p>
<p>I switched to the Windows image and got it to work based on the example of <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-531997703"" rel=""noreferrer"">@anangaur</a>. This is my final code:</p>
<pre><code>name: NuGet Generation

on:
  push:
    branches:
      - master

jobs:
  build:
    runs-on: windows-latest
    name: Update NuGet 
    steps:

      - name: Checkout repository
        uses: actions/checkout@master

#  latest image has .NET already installed!
#      - name: Setup .NET environment
#        uses: actions/setup-dotnet@v1
#        with:
#          dotnet-version: '2.2.105' 
          
      - name: Build solution and generate NuGet package
        run: |  
          cd SOLUTION_FOLDER
          dotnet pack -c Release -o out  

      - name: Install NuGet client
        uses: warrenbuckley/Setup-Nuget@v1
        
      - name: Add private GitHub registry to NuGet
        run: nuget sources add -name &quot;GPR&quot; -Source https://nuget.pkg.github.com/ORGANIZATION_NAME/index.json -Username ORGANIZATION_NAME -Password ${{ secrets.GITHUB_TOKEN }}
        
      - name: Push generated package to GitHub registry
        run: nuget push .\SOLUTION_FOLDER\PROJECT_FOLDER\out\*.nupkg -Source &quot;GPR&quot; -SkipDuplicate

</code></pre>
","639367",""
"58943251","57889719","2019-11-19 21:43:36","6","<p>Here is a workaround that works on all platforms:</p>

<pre><code>name: prerelease NuGet

on: [push]

jobs:
  build:
    runs-on: ubuntu-latest
    # also works with windows-latest and macos-latest
    steps:
    - name: Checkout repository
      uses: actions/checkout@v1
    - name: Build with dotnet
      run: dotnet build --configuration Release --version-suffix prerelease-$(date +%Y%m%d%H%M%S)
      shell: bash
    - name: Publish nuget
      run: |
           for f in ./[repository]/bin/Release/*.nupkg
           do
             curl -vX PUT -u ""[user]:${{ secrets.GHPackagesToken }}"" -F package=@$f https://nuget.pkg.github.com/[user]/
           done
      shell: bash
</code></pre>

<p>Notes:</p>

<ul>
<li>this creates a datestamped prerelease build for every git push and uploads it to nuget

<ul>
<li>for the suffix to work, you need to set <code>&lt;VersionPrefix&gt;</code> instead of <code>&lt;Version&gt;</code> in your <a href=""https://github.com/vslee/IEXSharp/blob/master/IEXSharp/IEXSharp.csproj"" rel=""nofollow noreferrer"">.csproj</a></li>
<li>if you don't want the prerelease suffix, remove the --version-suffix parameter</li>
</ul></li>
<li>the shell is explicitly set as bash in order to allow compatibility with building on windows</li>
<li>you will need to replace [user] and [repository] above with your own specific values

<ul>
<li>you will need to create a <a href=""https://help.github.com/en/github/authenticating-to-github/creating-a-personal-access-token-for-the-command-line"" rel=""nofollow noreferrer"">personal access token</a> with the permissions of write:packages</li>
<li>then create a <a href=""https://help.github.com/en/actions/automating-your-workflow-with-github-actions/creating-and-using-encrypted-secrets"" rel=""nofollow noreferrer"">GitHub Secret</a> named GHPackagesToken and put the token created above in there</li>
<li>using GitHub Secrets eliminates the need for a separate file containing your token</li>
</ul></li>
<li>this assumes you're have <code>&lt;GeneratePackageOnBuild&gt;true&lt;/GeneratePackageOnBuild&gt;</code> in your .csproj

<ul>
<li>if you don't, then you will need an additional step running <code>dotnet pack</code></li>
</ul></li>
<li>make sure to specify <code>&lt;RepositoryUrl&gt;...&lt;/RepositoryUrl&gt;</code> in your .csproj</li>
<li>for a working example if you can't get the above code working, see <a href=""https://github.com/vslee/IEXSharp/blob/master/.github/workflows/dotnetcore.yml"" rel=""nofollow noreferrer"">https://github.com/vslee/IEXSharp/blob/master/.github/workflows/dotnetcore.yml</a>, which pushes to <a href=""https://github.com/vslee/IEXSharp/packages"" rel=""nofollow noreferrer"">https://github.com/vslee/IEXSharp/packages</a> (ignore all of my extraneous comments there)

<ul>
<li>I posted this bc I tried both the examples from jwillmer above, as well as @anangaur and @marza91 on the GH issue thread but neither worked for me (on any platform)</li>
</ul></li>
<li>once GitHub fixes the issue of not being able to use the API key directly in the <code>dotnet nuget push</code> command (see <a href=""https://github.com/NuGet/Home/issues/8580#issue-492651409"" rel=""nofollow noreferrer"">initial post of GH issue</a>), then we won't need this workaround anymore</li>
</ul>
","2847567",""
"60692976","57889719","2020-03-15 12:40:01","1","<p>My working solution:</p>

<ul>
<li>replace 'usernamecompanyname' with a valid value for your repo</li>
<li>I kept the build and pack separated to allow for easier debugging if something goes wrong</li>
<li>you can set <code>ACTIONS_RUNNER_DEBUG</code> variable in your github secrets to <code>true</code> to allow for more detailed debuging</li>
<li>Change <code>dotnet-version</code> to your desired dotnet-sdk version</li>
<li>No need to specify <code>GITHUB_TOKEN</code> in your github repo secrests, this token is present by default</li>
</ul>

<p><strong>build_and_publish_nuget.yml:</strong></p>

<pre><code>name: Build and publish package

# Controls when the action will run. Triggers the workflow on push or pull request 
# events but only for the master branch
on:
  push:
    branches: [ master ]

# A workflow run is made up of one or more jobs that can run sequentially or in parallel
jobs:
  # This workflow contains a single job called ""build""
  build:
    # The type of runner that the job will run on
    runs-on: ubuntu-latest
    steps:
      - name: Checkout repository
        uses: actions/checkout@master

      - name: Setup .NET environment
        uses: actions/setup-dotnet@v1
        with:
          dotnet-version: '3.1.102'
          source-url: https://nuget.pkg.github.com/usernamecompanyname/index.json
        env:
          NUGET_AUTH_TOKEN: ${{secrets.GITHUB_TOKEN}}

      - name: Build project
        run: dotnet build -c Release

      - name: Generate a NuGet package
        run: dotnet pack --no-build -c Release -o .

      - name: Push to GitHub package registry
        run: dotnet nuget push *.nupkg
</code></pre>
","3084793",""
"61263264","57889719","2020-04-17 02:39:42","5","<p>Make sure you project file has the following</p>

<pre><code>&lt;PropertyGroup&gt;
    &lt;TargetFramework&gt;netcoreapp3.1&lt;/TargetFramework&gt;
    &lt;OutputType&gt;Library&lt;/OutputType&gt;
    &lt;PackageId&gt;Example.PackageName&lt;/PackageId&gt;
    &lt;Version&gt;1.0.0&lt;/Version&gt;
    &lt;Authors&gt;Author Engineering&lt;/Authors&gt;
    &lt;Company&gt;Company Inc&lt;/Company&gt;
    &lt;PackageDescription&gt;This package for ...!&lt;/PackageDescription&gt;
    &lt;RepositoryUrl&gt;
https://github.com/YOUR_ACCOUNT/Example.PackageName&lt;/RepositoryUrl&gt;
  &lt;/PropertyGroup&gt;
</code></pre>

<p>This should be your main.yaml for building, packaging, publishing, and versioning:</p>

<pre><code>name: Continuous Integration

on:
  push:
    branches:
      - master

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
    - uses: actions/checkout@v1
    - name: Setup Dotnet Core
      uses: actions/setup-dotnet@v1
      with:
        dotnet-version: 3.1.100
        source-url: https://nuget.pkg.github.com/YOUR_ACCOUNT/index.json
      env:
        NUGET_AUTH_TOKEN: ${{secrets.GITHUB_TOKEN}}

    - name: Setup Nuget Config
      run: sed 's/GITHUB_TOKEN/${{ secrets.GITHUB_TOKEN }}/g' .nuget.config &gt; nuget.config

    - name: Build
      run: dotnet build --configuration Release

    - name: Version and Tag
      id: bump_version
      uses: mathieudutour/github-tag-action@v1
      with:
        github_token: ${{ secrets.GITHUB_TOKEN }}

    - name: Prep Version String
      run: echo ::set-env name=VERSION_NUMBER::$(echo ${{ steps.bump_version.outputs.new_tag }} | sed 's/[v]//g')

    - name: Define Package Name
      run: echo ::set-env name=PACKAGE_NAME::$""Example.PackageName/bin/Release/Example.PackageName.${{ env.VERSION_NUMBER }}.nupkg""

    - name: Set Nuget Package Version
      uses: roryprimrose/set-vs-sdk-project-version@v1
      with:
        version: ${{ env.VERSION_NUMBER }}

    - name: Pack
      run: dotnet pack --configuration Release Example.PackageName

    - name: Publish Package
      run: dotnet nuget push Example.PackageName/bin/Release/*.nupkg --source https://nuget.pkg.github.com/YOUR_ACCOUNT/index.json

    - name: Create Release
      uses: actions/create-release@v1
      env:
        GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
      with:
        tag_name: ${{ steps.bump_version.outputs.new_tag }}
        release_name: Release ${{ github.ref }}

</code></pre>
","6068528",""
"63175926","57889719","2020-07-30 14:59:21","6","<p>You can use the <a href=""https://learn.microsoft.com/en-us/dotnet/core/tools/dotnet-nuget-add-source"" rel=""noreferrer""><code>dotnet nuget add source</code> command</a>:</p>
<pre><code>    - name: NuGet push
      run: |
        dotnet nuget add source https://nuget.pkg.github.com/${{ github.repository_owner }}/index.json --name github --username ${{ github.repository_owner }} --password ${{ github.token }} --store-password-in-clear-text
        dotnet nuget push **/*.nupkg --source github
</code></pre>
<p>The <code>--store-password-in-clear-text</code> option was required for me when running in a linux environment.</p>
<p>With this method, there's no need to modify the <code>actions/setup-dotnet</code> task.
Also, this method would allow you to push to multiple NuGet streams if needed.</p>
","1250319",""
"63943965","57889719","2020-09-17 18:11:44","1","<p>GitHub has been having intermittent issues with publish NuGet Packages to GitHub Packages.  I reached out to support and they gave me two options.</p>
<p><strong>Option 1: CURL</strong></p>
<pre><code>curl -vX PUT -u &quot;&lt;username&gt;:&lt;TOKEN&gt;&quot; -F package=@PATH-TO-PKG-FILE.nupkg https://nuget.pkg.github.com/&lt;OWNER&gt;/
</code></pre>
<p><strong>Option 2: DOTNET GPR TOOL</strong><br />
<a href=""https://github.com/jcansdale/gpr"" rel=""nofollow noreferrer"">https://github.com/jcansdale/gpr</a></p>
<pre><code>dotnet tool install gpr -g
gpr push PATH-TO-PKG-FILE.nupkg -k &lt;TOKEN&gt;
</code></pre>
<p>I went with <strong>Option 2</strong> in my GitHub Action Workflow:</p>
<pre><code>$file = Get-ChildItem -Path &lt;where I output my nupkg file to&gt; -Recurse -Filter *.nupkg | Select -First 1
gpr push $file.FullName -k ${{secrets.GITHUB_TOKEN}}          
</code></pre>
","229897",""
"70626630","57889719","2022-01-07 20:08:10","4","<p>The other answers were so long, I don't know why. This is what I do:</p>
<h1>For NuGet.org:</h1>
<pre><code>- name: Push Package to NuGet.org
  run: dotnet nuget push *.nupkg -k ${{ secrets.NUGET_ORG_API_KEY }} -s https://api.nuget.org/v3/index.json
</code></pre>
<h1>For GitHub.com:</h1>
<pre><code>- name: Push Package to GitHub.com
  run: dotnet nuget push *.nupkg -k ${{ secrets.GITHUB_TOKEN }} -s https://nuget.pkg.github.com/USERNAME/index.json
</code></pre>
","1275774",""
"58636619","58630097","2019-10-31 03:40:17","11","<p>I think you can resolve it by associating <code>master</code> with <code>origin master</code> like this:</p>

<pre><code>git fetch origin master:master
git diff --name-only master
</code></pre>

<p>Be aware that events that trigger <code>on: pull_request</code> workflows are not associated with a branch, they are associated with a merge commit SHA. So <code>actions/checkout@v1</code> by default will checkout the merge commit specified by <code>GITHUB_SHA</code>, not the branch that is merging into the base. See the <a href=""https://help.github.com/en/github/automating-your-workflow-with-github-actions/events-that-trigger-workflows#pull-request-event-pull_request"" rel=""noreferrer"">documentation here</a>. </p>

<p>You can override this default behaviour and checkout the branch merging into the base like this:</p>

<pre><code>      - uses: actions/checkout@master
        with:
          ref: ${{ github.head_ref }}
</code></pre>

<p>I'm not sure if this will be necessary for your use case, but there might be unintended effects when running <code>diff</code> on the merge commit.</p>
","11934042",""
