AnswerId,QuestionId,AnswerCreationDate,AnswerScore,AnswerBody,AnswerAuthorId,AnswerAuthorName
"58636619","58630097","2019-10-31 03:40:17","11","<p>I think you can resolve it by associating <code>master</code> with <code>origin master</code> like this:</p>

<pre><code>git fetch origin master:master
git diff --name-only master
</code></pre>

<p>Be aware that events that trigger <code>on: pull_request</code> workflows are not associated with a branch, they are associated with a merge commit SHA. So <code>actions/checkout@v1</code> by default will checkout the merge commit specified by <code>GITHUB_SHA</code>, not the branch that is merging into the base. See the <a href=""https://help.github.com/en/github/automating-your-workflow-with-github-actions/events-that-trigger-workflows#pull-request-event-pull_request"" rel=""noreferrer"">documentation here</a>. </p>

<p>You can override this default behaviour and checkout the branch merging into the base like this:</p>

<pre><code>      - uses: actions/checkout@master
        with:
          ref: ${{ github.head_ref }}
</code></pre>

<p>I'm not sure if this will be necessary for your use case, but there might be unintended effects when running <code>diff</code> on the merge commit.</p>
","11934042",""
"66467894","61828726","2021-03-04 02:50:56","2","<p>What fixed the problem for me is in my YAML workflow, replacing</p>
<pre><code>runs-on: ubuntu-latest 
</code></pre>
<p>with</p>
<pre><code>runs-on: ubuntu-20.04
</code></pre>
<p>ubuntu-latest uses Ubuntu 18.04 and the SQLite version seems to be old and have an issue.</p>
","464618",""
"69922168","64359222","2021-11-11 01:23:49","1","<p>For the next person who runs into this -- this is basically just an issue with Azure SNAT and Maven interacting. Maven internally pools connections and Azure's SNAT closes them in a way that Java kinda can't see, and Github Actions (since GitHub is owned by Microsoft) runs in Azure.</p>
<p>Anyway -- the fix with current Maven versions is to set a Maven parameter to dial down the TTL on the connection pool. If you need to use an older version, there are some other parameters you can use.</p>
<p>So I added an env var to my workflow:</p>
<pre class=""lang-yaml prettyprint-override""><code>MAVEN_OPTS: '-Dmaven.wagon.httpconnectionManager.ttlSeconds=120'
</code></pre>
<p>See also:</p>
<ul>
<li><a href=""https://maven.apache.org/configure.html"" rel=""nofollow noreferrer"">Configuring Maven</a> if you don't want to use MAVEN_OPTS</li>
<li><a href=""https://issues.apache.org/jira/browse/WAGON-545?focusedCommentId=16755035&amp;page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-16755035"" rel=""nofollow noreferrer"">WAGON-545</a> and <a href=""https://issues.apache.org/jira/browse/WAGON-486"" rel=""nofollow noreferrer"">WAGON-486</a> if you want more information about the issue</li>
<li><a href=""https://github.com/actions/virtual-environments/issues/1499"" rel=""nofollow noreferrer"">GH Actions Virtual Environments #1499</a> for a bit more on the GH side of things</li>
</ul>
","141042",""
"66093697","66088277","2021-02-07 22:19:02","2","<p>Thanks for sharing this.  I have precisely the same problems.</p>
<p>I added the following in my <code>Dockerfile</code></p>
<pre><code>RUN sed -i 's/\tif \[\[ -r $MAKEPKG_CONF \]\]; then/\tif \[\[ -f $MAKEPKG_CONF \]\]; then/' /usr/share/makepkg/util/config.sh
</code></pre>
<p>which replaces the check for read permission (<code>-r</code>) for the check whether the file exists and is a regular file (<code>-f</code>).</p>
<p>now my github action gets over this particular location, but fails with the next check:</p>
<pre><code>==&gt; ERROR: You do not have write permission for the directory $BUILDDIR (/tmp/aurutils).
    Aborting...
</code></pre>
<p>This is not a solution and does not answer what's the underlying issue, but I hope it helps anyways.</p>
","2165903",""
"66184907","66088277","2021-02-13 12:04:31","1","<p>This issue is caused by using glibc &gt;= 2.33 on the container and an outdated version of the Docker engine on the host.</p>
<p>You can fix it by patching glibc in your container:</p>
<pre class=""lang-sh prettyprint-override""><code>patched_glibc=glibc-linux4-2.33-4-x86_64.pkg.tar.zst
curl -LO https://repo.archlinuxcn.org/x86_64/$patched_glibc
bsdtar -C / -xvf $patched_glibc
</code></pre>
<p>Thanks to <a href=""https://github.com/lxqt/lxqt-panel/pull/1562/files"" rel=""nofollow noreferrer"">lxqt-panel</a> for the workaround.</p>
","2599002",""
"66445231","66358295","2021-03-02 18:38:25","0","<p>I fixed my problem by setting the <code>.git/config</code> file to what my local <code>.git/config</code> file was, and that solved the problem.  I don't know what part of the config file was causing the error, but I do know there was a problem with it.</p>
","14539510",""
"67371879","67369480","2021-05-03 15:47:14","0","<p>Script using checkout@V1 which works</p>
<pre><code>name: Auto Merge prod-&gt;master
on:
  push:
    branches: [ prod ]
jobs:
  build:
    runs-on: ubuntu-latest
    steps:
    - name: Checkout
      uses: actions/checkout@v1

    - name: Merge prod-&gt;master
      env:
        GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
      run: |
        git remote set-url origin https://x-access-token:${GITHUB_TOKEN}@github.com/&lt;github_user_name&gt;/&lt;repo_name&gt;
        git config user.name &quot;test&quot;
        git config user.email &quot;test@test.com&quot;
        git fetch origin master
        git checkout -b master origin/master
        git merge origin/prod --ff-only
        git push origin master
</code></pre>
","5992555",""
"67376248","67369480","2021-05-03 21:50:19","4","<p>Although I have never used these, I suspect that <a href=""https://github.com/marketplace/actions/checkout"" rel=""nofollow noreferrer"">this</a> is the culprit:</p>
<blockquote>
<p><strong>Only a single commit is fetched by default, for the ref/SHA that triggered the workflow. Set fetch-depth: 0 to fetch all history for all branches and tags.</strong> Refer here to learn which commit $GITHUB_SHA points to for different events.</p>
</blockquote>
<p>(boldface mine).  With the single commit, Git cannot tell whether the merge would be a fast-forward; with the single branch, Git does not have the necessary branch names.  The extra fetches you run will fix <em>some</em> of these problems, but not enough of them.  Setting the fetch depth, as recommended right up front here, would thus fix the problem.</p>
","1256452",""
"72605051","67786526","2022-06-13 15:02:47","1","<p>Your workflow doesn't build the APK, and therefore, there's no <code>build/app/outputs/apk/release/*.apk</code> file. So the release action doesn't find the location of the <em>artifacts</em>. Here is the workflow you can use to modify yours and tweak it as you wish:</p>
<pre><code># This is a basic workflow to help you get started with Actions

name: Build Flutter APK

# Controls when the workflow will run
on:
  # Triggers the workflow on push or pull request events but only for the &quot;develop&quot; branch
  push:
    branches: [&quot;develop&quot;]
    tags:
      - &quot;v*&quot;

# A workflow run is made up of one or more jobs that can run sequentially or in parallel
jobs:
  # This workflow contains a single job called &quot;build&quot;
  build:
    # The type of runner that the job will run on
    runs-on: ubuntu-latest
    permissions:
      contents: write

    # Steps represent a sequence of tasks that will be executed as part of the job
    steps:
      - uses: actions/checkout@v3

      - uses: actions/setup-java@v1
        with:
          java-version: &quot;12.x&quot;
      - name: Setup Flutter
        uses: subosito/flutter-action@v1
        with:
          channel: &quot;beta&quot;

      - name: Decode android/neumodore_key.jks
        run: echo &quot;${{ secrets.KEYSTORE_JKS_PROD }}&quot; | base64 --decode &gt; android/keystore.jks

      - name: Decode android/key.properties
        run: echo &quot;${{ secrets.KEY_PROPERTIES_PROD }}&quot; | base64 --decode &gt; android/key.properties

      - name: Pub Get Packages
        run: flutter pub get

      - name: Build APK
        run: flutter build apk 

      - name: Create Release
        uses: ncipollo/release-action@v1.10.0
        with:
          artifacts: &quot;build/app/outputs/apk/release/*.apk&quot;
</code></pre>
","9844964",""
"68918609","68005219","2021-08-25 07:30:05","3","<p>You cannot use the 3-legged variant of OAuth2.0 (aka &quot;web-application flow&quot;) in a headless environment like Github Actions.</p>
<p>If you want to use OAuth (I list other possibilities below), then you need to utilize what gitlab calls the &quot;device-flow&quot;. See <a href=""https://docs.github.com/en/developers/apps/building-oauth-apps/authorizing-oauth-apps#device-flow"" rel=""nofollow noreferrer"">github documentation</a>.</p>
<p>In this flow, there is no redirect to a given URL, so the app does not need a browser window. Instead it displays a code to the user. The user must the enter that code on a fixed URL (<a href=""https://github.com/login/device"" rel=""nofollow noreferrer"">https://github.com/login/device</a>). As soon as this is done, the app can request the authentication token. (So the app must keep polling until the user has entered the code).</p>
<p>Unfortunately, <code>httr</code> does not have nice wrapper functions for this variant, so you have to do the calls yourself. It can work like this:</p>
<pre><code>library(httr)



app_id &lt;- &quot;*redacted*&quot;


r &lt;- POST(&quot;https://github.com/login/device/code&quot;, 
          body = list(
            client_id = app_id,
            scope = &quot;user repo delete_repo&quot; #Scope must be given! https://docs.github.com/en/developers/apps/building-oauth-apps/scopes-for-oauth-apps
))


device_code &lt;- content(r)$device_code

print(paste0(&quot;Enter the code  &quot;, content(r)$user_code, &quot;  at &quot;, content(r)$verification_uri))


## NOTE: In reality this request has to run in a loop, until the user has entered the code und the request succeeds.
##       For the demo we can execute it manually after the code has been entered.
r &lt;- POST(&quot;https://github.com/login/oauth/access_token&quot;, 
          body = list(
            client_id = app_id,
            device_code = device_code,
            grant_type = &quot;urn:ietf:params:oauth:grant-type:device_code&quot;
          ))

token &lt;- content(r)$access_token

## create and delete a private testrepository to check if everything worked
r &lt;- 
  POST(&quot;https://api.github.com/user/repos&quot;,
       add_headers(Authorization = paste(&quot;token&quot;, token)),
       body = list(name = &quot;testrepo&quot;,
                 private = TRUE,
                 auto_init = FALSE), 
       encode = &quot;json&quot;)


r &lt;- DELETE(paste0(&quot;https://api.github.com/repos/&quot;, content(r)$full_name), 
       add_headers(Authorization = paste(&quot;token&quot;, token)))
</code></pre>
<p>I have seen that there is <code>httr2</code>, and that it offers convenience functions for this flow. I have however never used it and do not know if it already works reliable. See <a href=""https://httr2.r-lib.org/reference/req_oauth_device.html"" rel=""nofollow noreferrer"">here</a>.</p>
<p>Since this flow still requires user interaction, you may be better of with one of the following variants (I do not know if they fit your use case.):</p>
<ol>
<li><p><strong>Basic Auth:</strong>
You can define what github calls a &quot;personal access token&quot; beforehand. With this token you can authenticate without further interaction. Creation is described <a href=""https://docs.github.com/en/github/authenticating-to-github/keeping-your-account-and-data-secure/creating-a-personal-access-token"" rel=""nofollow noreferrer"">here</a>. In R you can use it most easily together with <code>httr::authenticate</code>.</p>
</li>
<li><p><strong>GITHUB_TOKEN:</strong>
Github automatically creates special secrets specifically Github Actions. These can be used to execute actions in the containing repository. For more info see <a href=""https://docs.github.com/en/actions/reference/authentication-in-a-workflow"" rel=""nofollow noreferrer"">here</a>.</p>
</li>
</ol>
","6664578",""
