AnswerId,QuestionId,AnswerCreationDate,AnswerScore,AnswerBody,AnswerAuthorId,AnswerAuthorName
"57639714","57639507","2019-08-24 16:29:54","4","<p>You need to pass the name of the service (<code>&quot;postgres&quot;</code>) as <code>POSTGRES_HOST</code> to the application <em>and</em> set the port <code>POSTGRES_PORT: ${{ job.services.postgres.ports[5432] }}</code> (spaces matter.)</p>
<p>Github CI dynamically routes port and host to it.</p>
<p>I wrote a <a href=""http://rocket-science.ru/hacking/2019/08/19/use-github-ci-for-elixir-projects"" rel=""nofollow noreferrer"">blog post</a> on the subject a couple of days ago.</p>
","2035262",""
"57806894","57806624","2019-09-05 13:43:24","121","<p>If I understand your needs, you need the <code>pub</code> steps to run as if you'd done a <code>cd dart_project</code> first, right? Add the <a href=""https://help.github.com/en/articles/workflow-syntax-for-github-actions#jobsjob_idstepsworking-directory"" rel=""noreferrer""><code>working-directory</code></a> parameter to your steps:</p>
<pre><code>steps:
- uses: actions/checkout@v1
- name: Install dependencies
  run: pub get
  working-directory: dart_project
- name: Run tests
  run: pub run test
  working-directory: dart_project
</code></pre>
<p>If you want to apply it to every step, use the tag <code>defaults</code></p>
<pre class=""lang-yaml prettyprint-override""><code>defaults:
  run:
    working-directory: dart_project
</code></pre>
<p>I believe that should be all you need.</p>
","2314532",""
"69494898","57806624","2021-10-08 11:09:05","36","<p>You can configure a <code>working-directory</code> on the step level for this purpose.
You can also configure a default directory for the steps. Defaults can be on job or global level.</p>
<p>Example on step level.</p>
<pre class=""lang-yaml prettyprint-override""><code>jobs:
  build:
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
        working-directory: dart_project
      - name: Run tests
        run: pub run test
        working-directory: dart_project
</code></pre>
<p>Example on job level. This reduces duplication on the job level. This is suited for a job that is working on a sub-directory.</p>
<pre class=""lang-yaml prettyprint-override""><code>jobs:
  build:
    defaults:
      run:
        working-directory: dart_project
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
      - name: Run tests
        run: pub run test
</code></pre>
<p>Example on global level. This reduces duplication on the global level. This is suited when all jobs in the workflow file are for a project located in a sub-directory.</p>
<pre class=""lang-yaml prettyprint-override""><code>defaults:
  run:
    working-directory: dart_project
jobs:
  build:
    steps:
      - uses: actions/checkout@v1
      - name: Install dependencies
        run: pub get
      - name: Run tests
        run: pub run test
</code></pre>
","1485189",""
"57830377","57808152","2019-09-07 03:14:16","0","<p>@Rezwan provided the link to the image I was looking for.</p>

<p>I'm still not able to run it due to the following issues:</p>

<p><a href=""https://github.com/cirruslabs/docker-images-flutter/issues/27"" rel=""nofollow noreferrer"">https://github.com/cirruslabs/docker-images-flutter/issues/27</a></p>

<p><a href=""https://stackoverflow.com/q/57830375/3231778"">GitHub Actions workflow error: Cannot create file, path = &#39;/github/home/.flutter&#39;</a></p>
","3231778",""
"57838959","57808152","2019-09-08 03:20:56","3","<p>I let my one running without Docker. </p>

<p>You could try to install flutter and run flutter pub get. I used in my example <a href=""https://github.com/marketplace/actions/flutter-action"" rel=""nofollow noreferrer"">subosito/flutter-action@v1</a></p>

<pre><code>name: CI

on:
  pull_request:
    branches:
      - development
      - master

jobs:
  test:
    name: Flutter Tests
    runs-on: ubuntu-latest

    steps:
      - uses: actions/checkout@v1
      - uses: actions/setup-java@v1
        with:
          java-version: '12.x'
      - uses: subosito/flutter-action@v1
        with:
          flutter-version: '1.7.8+hotfix.4'
      - run: flutter doctor
      - run: flutter pub get
      - run: flutter test
</code></pre>
","3690032",""
"59022667","57808152","2019-11-24 21:36:27","16","<p>You don't need to use a flutter specific container, there is a <a href=""https://github.com/marketplace/actions/flutter-action"" rel=""nofollow noreferrer"">Flutter Action</a> available that runs on the default Windows, Linux and macOS containers.</p>
<p>This means that building your flutter app is as simple as using the action and then running the flutter build command. The following example runs an Android apk build:</p>
<pre><code>on: push
jobs: 
  build-and-test: 
    runs-on: ubuntu-latest
    steps:
    - name: Clone repository
      uses: actions/checkout@v4
    - name: Set up Flutter
      uses: subosito/flutter-action@v2
      with:
        channel: stable
    # Get flutter packages
    - run: flutter pub get
    # Build :D 
    - run: flutter build apk
</code></pre>
<p>I wrote a <a href=""https://admcpr.com//continuous-integration-for-flutter-with-github-actions/"" rel=""nofollow noreferrer"">blog post</a> about building and testing flutter using actions if you'd like to learn more.</p>
","2529475",""
"73714978","57808152","2022-09-14 10:01:39","0","<p>I leave here a link to the production project with the app in the stores.</p>
<p>Maybe it saves time for somebody, I would be glad to have it when I implement it.</p>
<ol>
<li>Uses secret keys for signing releases.</li>
<li>Create .apks for different flavors.</li>
<li>Add the build number to the files.</li>
<li>Create a GitHub release.</li>
</ol>
<p><a href=""https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/blob/main/.github/workflows/build_from_tags_ci.yml"" rel=""nofollow noreferrer"">https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/blob/main/.github/workflows/build_from_tags_ci.yml</a></p>
","7198006",""
"58025355","57889719","2019-09-20 09:13:54","44","<p><strong>Second Update:</strong>
I got an answer in the <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-714501802"" rel=""noreferrer"">GitHub issue</a> from <code>jcansdale</code> that says (haven't tested this):</p>
<blockquote>
<p>Support for the dotnet nuget push --api-key option has now been added to GitHub Packages. For some reason this works consistently, but using basic auth (password in nuget.config file) fails randomly!</p>
</blockquote>
<p>Example:</p>
<pre><code>  - name: Publish Nuget to GitHub registry
    run: dotnet nuget push ./&lt;project&gt;/out/*.nupkg -k ${GITHUB_TOKEN} -s https://nuget.pkg.github.com/&lt;organization&gt;/index.json --skip-duplicate --no-symbols 
    env:
      GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
</code></pre>
<p><strong>Update:</strong>
Based on <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-599056152"" rel=""noreferrer"">Dids answer on GitHub</a> my configuration works now like this:</p>
<pre><code>name: NuGet Generation

on:
  push:
    branches:
      - master
  pull_request:
    types: [closed]
    branches:
      - master

jobs:
  build:
    runs-on: ubuntu-18.04
    name: Update NuGet package
    steps:

      - name: Checkout repository
        uses: actions/checkout@v1

      - name: Setup .NET Core @ Latest
        uses: actions/setup-dotnet@v1
        with:
          source-url: https://nuget.pkg.github.com/&lt;organization&gt;/index.json
        env:
          NUGET_AUTH_TOKEN: ${{secrets.GITHUB_TOKEN}}        
          
      - name: Build solution and generate NuGet package
        run: |  
          cd &lt;project&gt;
          dotnet pack -c Release -o out  

      - name: Push generated package to GitHub registry
        run: dotnet nuget push ./&lt;project&gt;/out/*.nupkg --skip-duplicate --no-symbols true

</code></pre>
<p><strong>Note:</strong> At the time of writing I needed to use <code>--no-symbols true</code> instead of <code>--no-symbols</code> to prevent exceptions in the dotnet NuGet client.</p>
<hr />
<p><strong>Old answer:</strong></p>
<p>I switched to the Windows image and got it to work based on the example of <a href=""https://github.com/NuGet/Home/issues/8580#issuecomment-531997703"" rel=""noreferrer"">@anangaur</a>. This is my final code:</p>
<pre><code>name: NuGet Generation

on:
  push:
    branches:
      - master

jobs:
  build:
    runs-on: windows-latest
    name: Update NuGet 
    steps:

      - name: Checkout repository
        uses: actions/checkout@master

#  latest image has .NET already installed!
#      - name: Setup .NET environment
#        uses: actions/setup-dotnet@v1
#        with:
#          dotnet-version: '2.2.105' 
          
      - name: Build solution and generate NuGet package
        run: |  
          cd SOLUTION_FOLDER
          dotnet pack -c Release -o out  

      - name: Install NuGet client
        uses: warrenbuckley/Setup-Nuget@v1
        
      - name: Add private GitHub registry to NuGet
        run: nuget sources add -name &quot;GPR&quot; -Source https://nuget.pkg.github.com/ORGANIZATION_NAME/index.json -Username ORGANIZATION_NAME -Password ${{ secrets.GITHUB_TOKEN }}
        
      - name: Push generated package to GitHub registry
        run: nuget push .\SOLUTION_FOLDER\PROJECT_FOLDER\out\*.nupkg -Source &quot;GPR&quot; -SkipDuplicate

</code></pre>
","639367",""
"58943251","57889719","2019-11-19 21:43:36","6","<p>Here is a workaround that works on all platforms:</p>

<pre><code>name: prerelease NuGet

on: [push]

jobs:
  build:
    runs-on: ubuntu-latest
    # also works with windows-latest and macos-latest
    steps:
    - name: Checkout repository
      uses: actions/checkout@v1
    - name: Build with dotnet
      run: dotnet build --configuration Release --version-suffix prerelease-$(date +%Y%m%d%H%M%S)
      shell: bash
    - name: Publish nuget
      run: |
           for f in ./[repository]/bin/Release/*.nupkg
           do
             curl -vX PUT -u ""[user]:${{ secrets.GHPackagesToken }}"" -F package=@$f https://nuget.pkg.github.com/[user]/
           done
      shell: bash
</code></pre>

<p>Notes:</p>

<ul>
<li>this creates a datestamped prerelease build for every git push and uploads it to nuget

<ul>
<li>for the suffix to work, you need to set <code>&lt;VersionPrefix&gt;</code> instead of <code>&lt;Version&gt;</code> in your <a href=""https://github.com/vslee/IEXSharp/blob/master/IEXSharp/IEXSharp.csproj"" rel=""nofollow noreferrer"">.csproj</a></li>
<li>if you don't want the prerelease suffix, remove the --version-suffix parameter</li>
</ul></li>
<li>the shell is explicitly set as bash in order to allow compatibility with building on windows</li>
<li>you will need to replace [user] and [repository] above with your own specific values

<ul>
<li>you will need to create a <a href=""https://help.github.com/en/github/authenticating-to-github/creating-a-personal-access-token-for-the-command-line"" rel=""nofollow noreferrer"">personal access token</a> with the permissions of write:packages</li>
<li>then create a <a href=""https://help.github.com/en/actions/automating-your-workflow-with-github-actions/creating-and-using-encrypted-secrets"" rel=""nofollow noreferrer"">GitHub Secret</a> named GHPackagesToken and put the token created above in there</li>
<li>using GitHub Secrets eliminates the need for a separate file containing your token</li>
</ul></li>
<li>this assumes you're have <code>&lt;GeneratePackageOnBuild&gt;true&lt;/GeneratePackageOnBuild&gt;</code> in your .csproj

<ul>
<li>if you don't, then you will need an additional step running <code>dotnet pack</code></li>
</ul></li>
<li>make sure to specify <code>&lt;RepositoryUrl&gt;...&lt;/RepositoryUrl&gt;</code> in your .csproj</li>
<li>for a working example if you can't get the above code working, see <a href=""https://github.com/vslee/IEXSharp/blob/master/.github/workflows/dotnetcore.yml"" rel=""nofollow noreferrer"">https://github.com/vslee/IEXSharp/blob/master/.github/workflows/dotnetcore.yml</a>, which pushes to <a href=""https://github.com/vslee/IEXSharp/packages"" rel=""nofollow noreferrer"">https://github.com/vslee/IEXSharp/packages</a> (ignore all of my extraneous comments there)

<ul>
<li>I posted this bc I tried both the examples from jwillmer above, as well as @anangaur and @marza91 on the GH issue thread but neither worked for me (on any platform)</li>
</ul></li>
<li>once GitHub fixes the issue of not being able to use the API key directly in the <code>dotnet nuget push</code> command (see <a href=""https://github.com/NuGet/Home/issues/8580#issue-492651409"" rel=""nofollow noreferrer"">initial post of GH issue</a>), then we won't need this workaround anymore</li>
</ul>
","2847567",""
"60692976","57889719","2020-03-15 12:40:01","1","<p>My working solution:</p>

<ul>
<li>replace 'usernamecompanyname' with a valid value for your repo</li>
<li>I kept the build and pack separated to allow for easier debugging if something goes wrong</li>
<li>you can set <code>ACTIONS_RUNNER_DEBUG</code> variable in your github secrets to <code>true</code> to allow for more detailed debuging</li>
<li>Change <code>dotnet-version</code> to your desired dotnet-sdk version</li>
<li>No need to specify <code>GITHUB_TOKEN</code> in your github repo secrests, this token is present by default</li>
</ul>

<p><strong>build_and_publish_nuget.yml:</strong></p>

<pre><code>name: Build and publish package

# Controls when the action will run. Triggers the workflow on push or pull request 
# events but only for the master branch
on:
  push:
    branches: [ master ]

# A workflow run is made up of one or more jobs that can run sequentially or in parallel
jobs:
  # This workflow contains a single job called ""build""
  build:
    # The type of runner that the job will run on
    runs-on: ubuntu-latest
    steps:
      - name: Checkout repository
        uses: actions/checkout@master

      - name: Setup .NET environment
        uses: actions/setup-dotnet@v1
        with:
          dotnet-version: '3.1.102'
          source-url: https://nuget.pkg.github.com/usernamecompanyname/index.json
        env:
          NUGET_AUTH_TOKEN: ${{secrets.GITHUB_TOKEN}}

      - name: Build project
        run: dotnet build -c Release

      - name: Generate a NuGet package
        run: dotnet pack --no-build -c Release -o .

      - name: Push to GitHub package registry
        run: dotnet nuget push *.nupkg
</code></pre>
","3084793",""
