AnswerId,QuestionId,AnswerCreationDate,AnswerScore,AnswerBody,AnswerAuthorId,AnswerAuthorName
"58004257","57503578","2019-09-19 05:30:33","17","<p>I made a GitHub Action that I think will help you with this use case.
<a href=""https://github.com/peter-evans/create-pull-request"" rel=""nofollow noreferrer"">https://github.com/peter-evans/create-pull-request</a></p>
<p><code>create-pull-request</code> action needs to be run in conjunction with other actions or steps that modify or add files to your repository. The changes will be automatically committed to a new branch and a pull request created.</p>
<p>Here is an example that sets most of the main inputs.</p>
<pre><code>on:
  repository_dispatch:
    types: [create-pull-request]
name: Create Pull Request
jobs:
  createPullRequest:
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v3
      - name: Create report file
        run: date +%s &gt; report.txt
      - name: Create Pull Request
        uses: peter-evans/create-pull-request@v5
        with:
          commit-message: Add report file
          committer: Peter Evans &lt;peter-evans@users.noreply.github.com&gt;
          body: |
            New report
            - Contains *today's* date
            - Auto-generated by [create-pull-request][1]

            [1]: https://github.com/peter-evans/create-pull-request
          title: '[Example] Add report file'
          labels: report, automated pr
          assignees: peter-evans
          reviewers: peter-evans
          milestone: 1
          branch: example-patches
</code></pre>
<p>To make it bot-like you can trigger the workflow periodically.</p>
<pre><code>on:
 schedule:
   - cron: '*/5 * * * *'
</code></pre>
<p>Alternatively, you can set the workflow to trigger via webhook, as in the example above.</p>
<pre><code>on:
  repository_dispatch:
    types: [create-pull-request]
</code></pre>
<p>To trigger the workflow call the following. <code>[username]</code> is a GitHub username. <code>[token]</code> is a <code>repo</code> scoped token. <code>[repository]</code> is the name of the repository the workflow resides in.</p>
<pre><code>curl -XPOST -u &quot;[username]:[token]&quot; -H &quot;Accept: application/vnd.github.everest-preview+json&quot; -H &quot;Content-Type: application/json&quot; https://api.github.com/repos/[username]/[repository]/dispatches --data '{&quot;event_type&quot;: &quot;create-pull-request&quot;}'
</code></pre>
<p>For further examples check out the <a href=""https://github.com/peter-evans/create-pull-request/blob/main/docs/examples.md"" rel=""nofollow noreferrer"">documentation here</a>.</p>
","11934042",""
"57521953","57509118","2019-08-16 09:15:47","4","<p>As mentioned in the <a href=""https://help.github.com/en/articles/workflow-syntax-for-github-actions#jobs"" rel=""nofollow noreferrer"">Workflow syntax docs</a>:</p>

<blockquote>
  <p>Each job runs in a fresh instance of the virtual environment specified by runs-on.</p>
</blockquote>

<p>From what I can see here, you're doing the checkout step in a completely separate job from others. Doing it that way it does not affect other jobs in any way. It should actually be defined <em>inside</em> those jobs where your npm CLI commands are executed.</p>

<p>Here's an example of how it would look like in one of your jobs:</p>

<pre><code>jobs:
  # (...) Other jobs
  # Install Dependencies
  install_dependencies:
    name: Install Dependencies
    runs-on: ubuntu-latest
    strategy:
      matrix:
        node-version: [10.x]
    steps:
    - uses: actions/checkout@master
    - run: yarn dep:install-npm
    needs: checkout
  # (...) Other jobs
</code></pre>

<p>There are some general examples in <a href=""https://github.com/actions/starter-workflows/blob/master/ci/npm-publish.yml"" rel=""nofollow noreferrer"">GitHub starter workflow templates</a>.</p>
","7029969",""
"57830377","57808152","2019-09-07 03:14:16","0","<p>@Rezwan provided the link to the image I was looking for.</p>

<p>I'm still not able to run it due to the following issues:</p>

<p><a href=""https://github.com/cirruslabs/docker-images-flutter/issues/27"" rel=""nofollow noreferrer"">https://github.com/cirruslabs/docker-images-flutter/issues/27</a></p>

<p><a href=""https://stackoverflow.com/q/57830375/3231778"">GitHub Actions workflow error: Cannot create file, path = &#39;/github/home/.flutter&#39;</a></p>
","3231778",""
"57838959","57808152","2019-09-08 03:20:56","3","<p>I let my one running without Docker. </p>

<p>You could try to install flutter and run flutter pub get. I used in my example <a href=""https://github.com/marketplace/actions/flutter-action"" rel=""nofollow noreferrer"">subosito/flutter-action@v1</a></p>

<pre><code>name: CI

on:
  pull_request:
    branches:
      - development
      - master

jobs:
  test:
    name: Flutter Tests
    runs-on: ubuntu-latest

    steps:
      - uses: actions/checkout@v1
      - uses: actions/setup-java@v1
        with:
          java-version: '12.x'
      - uses: subosito/flutter-action@v1
        with:
          flutter-version: '1.7.8+hotfix.4'
      - run: flutter doctor
      - run: flutter pub get
      - run: flutter test
</code></pre>
","3690032",""
"59022667","57808152","2019-11-24 21:36:27","16","<p>You don't need to use a flutter specific container, there is a <a href=""https://github.com/marketplace/actions/flutter-action"" rel=""nofollow noreferrer"">Flutter Action</a> available that runs on the default Windows, Linux and macOS containers.</p>
<p>This means that building your flutter app is as simple as using the action and then running the flutter build command. The following example runs an Android apk build:</p>
<pre><code>on: push
jobs: 
  build-and-test: 
    runs-on: ubuntu-latest
    steps:
    - name: Clone repository
      uses: actions/checkout@v4
    - name: Set up Flutter
      uses: subosito/flutter-action@v2
      with:
        channel: stable
    # Get flutter packages
    - run: flutter pub get
    # Build :D 
    - run: flutter build apk
</code></pre>
<p>I wrote a <a href=""https://admcpr.com//continuous-integration-for-flutter-with-github-actions/"" rel=""nofollow noreferrer"">blog post</a> about building and testing flutter using actions if you'd like to learn more.</p>
","2529475",""
"73714978","57808152","2022-09-14 10:01:39","0","<p>I leave here a link to the production project with the app in the stores.</p>
<p>Maybe it saves time for somebody, I would be glad to have it when I implement it.</p>
<ol>
<li>Uses secret keys for signing releases.</li>
<li>Create .apks for different flavors.</li>
<li>Add the build number to the files.</li>
<li>Create a GitHub release.</li>
</ol>
<p><a href=""https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/blob/main/.github/workflows/build_from_tags_ci.yml"" rel=""nofollow noreferrer"">https://github.com/AgoraDesk-LocalMonero/agoradesk-app-foss/blob/main/.github/workflows/build_from_tags_ci.yml</a></p>
","7198006",""
"58636619","58630097","2019-10-31 03:40:17","11","<p>I think you can resolve it by associating <code>master</code> with <code>origin master</code> like this:</p>

<pre><code>git fetch origin master:master
git diff --name-only master
</code></pre>

<p>Be aware that events that trigger <code>on: pull_request</code> workflows are not associated with a branch, they are associated with a merge commit SHA. So <code>actions/checkout@v1</code> by default will checkout the merge commit specified by <code>GITHUB_SHA</code>, not the branch that is merging into the base. See the <a href=""https://help.github.com/en/github/automating-your-workflow-with-github-actions/events-that-trigger-workflows#pull-request-event-pull_request"" rel=""noreferrer"">documentation here</a>. </p>

<p>You can override this default behaviour and checkout the branch merging into the base like this:</p>

<pre><code>      - uses: actions/checkout@master
        with:
          ref: ${{ github.head_ref }}
</code></pre>

<p>I'm not sure if this will be necessary for your use case, but there might be unintended effects when running <code>diff</code> on the merge commit.</p>
","11934042",""
"58964728","58933795","2019-11-20 22:59:53","1","<p>I cannot comment to ask questions due to my reputation but I'll try to answer.</p>

<p>I don't know your workflow but if I understand well, you can use args keyword and also entrypoint like that : </p>

<pre><code>steps:
  - name: It does something 
    uses: circleci/android:api-28
    with:
      entrypoint: /entrypoint.sh
      args: |
         COPY entrypoint.sh /entrypoint.sh
         RUN sudo chmod +x entrypoint.sh
</code></pre>

<p>I really don't know if it will work like that, but maybe <a href=""https://help.github.com/en/actions/automating-your-workflow-with-github-actions/workflow-syntax-for-github-actions#jobsjob_idstepswithargs"" rel=""nofollow noreferrer"">this documentation can help you</a>.</p>
","7087644",""
"59095924","59060710","2019-11-28 20:43:20","0","<blockquote>
  <p>1) Which images are available for use in the build? Can I use one of my public Docker Hub images as a base image so that I can spare myself installing the linux dependencies and gems?</p>
</blockquote>

<p>Yes ! Feel free to use your image with the keyword <strong>uses in your first step</strong> like that :</p>

<pre><code>- uses: docker://{host}/{image}:{tag}
</code></pre>

<blockquote>
  <p>2) How can I configure MongoDB as a service? Is there an image available for that?</p>
</blockquote>

<p>You can do like that :</p>

<pre><code>services:
  mongodb:
    image: mongo:3.4.23
    ports:
      - 27017:27017
</code></pre>

<p>Also, there is <a href=""https://dev.to/s_abderemane/how-to-use-docker-services-in-github-actions-6ce"" rel=""nofollow noreferrer"">an article</a> about Docker services maybe it can helps you to better understand services in Github Actions.</p>
","7087644",""
"59310425","59302035","2019-12-12 18:04:50","15","<p>You can try a <a href=""https://docs.github.com/en/actions/reference/workflow-syntax-for-github-actions#jobsjob_idstrategymatrix"" rel=""noreferrer""><code>matrix</code></a> configuration with:</p>
<pre><code>name: test
on: [push]
jobs:
  test:
    runs-on: ubuntu-latest
    strategy:
      matrix:
        token: [token1, token2, etc...]
    steps:
    - uses: actions/checkout@v1
    - name: Set up JDK 1.8
      uses: actions/setup-java@v1
      with:
        java-version: 1.8
    - name: &quot;load configuration&quot;
      run: echo &quot;configuration=$conf&quot; &gt;&gt; ./conf
      env:
        conf: ${{ matrix.token }}
    - name: &quot;integration tests&quot;
      run: &quot;mvn -B integration-test&quot;
</code></pre>
<p>This will create <code>N</code> jobs where <code>N</code> is the number of tokens in the list and each job with <code>conf: ${{ matrix.token }}</code> will resolve to a token in the list for the current job.</p>
<hr />
<p>I think it may also be possible to store your tokens as secrets and setup the matrix like:</p>
<pre><code>strategy:
  matrix:
    token: [&quot;${{secrets.token1}}&quot;, &quot;${{secrets.token2}}&quot;, etc...]
</code></pre>
<p>However, I haven't tested this.</p>
<h2>EDIT</h2>
<p>I found a trick to make the secrets tokens work:</p>
<ol>
<li>Create your secrets and call them <code>token1</code>, <code>token2</code>, etc</li>
<li>Create your matrix configuration using the tokens i.e. the names of the secrets:</li>
</ol>
<pre><code>strategy:
  matrix:
    token: [token1, token2]
</code></pre>
<ol start=""3"">
<li>In your job's env, create the following environment variable:</li>
</ol>
<pre><code>env:
  token: ${{secrets[matrix.token]}}
</code></pre>
<ol start=""4"">
<li>Now the actual value for the token for each build matrix is stored inside the environment variable <code>${{env.token}}</code> (when operating within an expression context) or <code>$token</code> (in bash).</li>
</ol>
<p>The environment variable will still remain a secret, so you don't loose anything.</p>
","2089675",""
"60303169","60303168","2020-02-19 14:59:18","15","<p>No, don't put the token in the .yaml file.  For use with GitHub Actions, you add the token to the Secrets section of your GitHub repository, then leave the .yaml code above as it is.</p>

<p>Add the secret at the URL (modify with your names): <a href=""https://github.com/USERNAME/REPONAME/settings/secrets"" rel=""noreferrer"">https://github.com/USERNAME/REPONAME/settings/secrets</a> and call it CODECOV_TOKEN.  Then this .yaml code will find it.</p>

<p>(You get the repo's codecov token from <a href=""https://codecov.io/gh/USERNAME/REPONAME"" rel=""noreferrer"">https://codecov.io/gh/USERNAME/REPONAME</a>)</p>
","4470365",""
"61268185","61268184","2020-04-17 09:26:31","1","<p>I've created a simple CLI that can help you achieve that - <a href=""https://github.com/unfor19/githubsecrets"" rel=""nofollow noreferrer"">https://github.com/unfor19/githubsecrets</a> </p>

<p>This CLI is based on the official <a href=""https://developer.github.com/v3/actions/secrets/#secrets"" rel=""nofollow noreferrer"">GitHub Actions Secrets API</a></p>

<p>Install with pip</p>

<pre class=""lang-sh prettyprint-override""><code>$ pip install githubsecrets
...
$ ghs --help
...
</code></pre>

<p>Or use with Docker; you must supply all arguments, prompts are not available in Docker mode</p>

<p>macOS and Linux</p>

<pre class=""lang-sh prettyprint-override""><code>$ docker run -v $HOME:/root unfor19/githubsecrets --help
Usage: ghs [OPTIONS] COMMAND [ARGS]...
</code></pre>

<p>Windows</p>

<pre class=""lang-sh prettyprint-override""><code>$ docker run --rm -v c:/Temp:/root unfor19/githubsecrets --help
Usage: ghs [OPTIONS] COMMAND [ARGS]...
</code></pre>

<p><img src=""https://githubsecrets.s3-eu-west-1.amazonaws.com/githubsecrets-demo.gif"" alt=""Usage-Demo""></p>
","5285732",""
"61268481","61268184","2020-04-17 09:43:29","1","<p>Another one, in ruby:</p>

<pre><code>$ gem install secret_hub
</code></pre>

<p>also using the official Github API, and supports bulk operations.</p>

<p><a href=""https://github.com/dannyben/secret_hub"" rel=""nofollow noreferrer"">https://github.com/dannyben/secret_hub</a></p>

<p>Full disclosure: I wrote it, following <a href=""https://github.community/t5/GitHub-Actions/Secrets-on-Team-and-Organization-level/td-p/29745"" rel=""nofollow noreferrer"">this discussion</a> about the missing feature in GitHub to have organization-level secrets.</p>
","413924",""
"61827072","61823476","2020-05-15 19:39:03","1","<p>A quick Google search led me to this action: <a href=""https://github.com/marketplace/actions/run-java-checkstyle"" rel=""nofollow noreferrer"">https://github.com/marketplace/actions/run-java-checkstyle</a></p>

<p>Haven't tried it myself, but worth a shot to use as a base if it doesn't work out.</p>
","2382650",""
"64736773","61863729","2020-11-08 09:58:07","0","<p>I'm sure its too late for you but may be suitable for others with same aim to upload test results</p>
<p>Option 1: upload only html report without all other JS stuff</p>
<p>Option 2: upload entire directory</p>
<pre><code>name: PR_unit_tests

on:
  pull_request:
    branches:
      - 'main'

jobs:
  Unit-test:
    name: Run unit tests on PR in main
    runs-on: ubuntu-20.04

    steps:
      - uses: actions/checkout@v2
      - uses: actions/setup-java@v1
        with: {java-version: 1.8}
      - name: Run unit tests
        run: ./gradlew test

      - name: Upload html test report
        uses: actions/upload-artifact@v2
        with:
          name: index.html
          path: app/build/reports/tests/testDebugUnitTest/index.html

      - name: Upload test report directory
        uses: actions/upload-artifact@v2
        with:
          name: testDebugStuff
          path: app/build/reports/tests/testDebugUnitTest/
         
</code></pre>
","6588221",""
"61985092","61979870","2020-05-24 11:12:01","0","<p>Generally, it is not possible to write out YAML exactly the way it was written when you loaded it, see <a href=""https://stackoverflow.com/q/60891174/347964"">this question</a>.</p>

<p>You can follow the advice in the answer there: Load to node graph instead of native objects. It looks like this in PyYAML:</p>

<pre class=""lang-py prettyprint-override""><code>import yaml
import io

input = """"""
xx: [x1, x2]
yy: [y1, y2, y3]
""""""

loader = yaml.Loader(input)
node = loader.get_single_node()

stream = io.StringIO()
dumper = yaml.Dumper(stream)
dumper.open()
dumper.serialize(node)
dumper.close()
print(stream.getvalue())
</code></pre>

<p>Output will be:</p>

<pre class=""lang-yaml prettyprint-override""><code>xx: [x1, x2]
yy: [y1, y2, y3]
</code></pre>

<p>This works because a <em>node</em> still remembers its original style (while the native data doesn't). It is still possible to alter the YAML structure, but you now need to create data as nodes instead of just manipulating the loaded Python data.</p>

<p>If you want to create your data in Python and dump in your preferred format, the easiest way to do that would probably be:</p>

<ul>
<li>create the data</li>
<li>dump it to a YAML string</li>
<li>load that string as node graph</li>
<li>walk the node graph and alter the <code>style</code> attribute of the nodes to your liking</li>
<li>represent the node graph as YAML again</li>
</ul>
","347964",""
