id,post_id,source,sentence,AS1,EH1,EH2,EH3,EH4,EH5,EH6,EH7,EH8,EH9,FI1,II1,IN1,LE1,LE2,LE3,MI1,OR1,OR2,OR3,OR4,OR5,OR6,OR7
0,57503578,title,Making pull requests to a GitHub repository automatically with GitHub Actions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57503578,body,I have a file in a GitHub repository that needs updating occasionally by running a command.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57503578,body,"As part of a -LINK-, I want to have a bot running a command, and seeing if it creates  a diff on the repo, and if so, make a pull request to the repository automatically.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57503578,body,"I have a suspicion that the -LINK- can help me do that as GitHub now lets people run arbitrary containers (""Actions"") that do stuff like builds in a repository.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57503578,body,"I see some official automation workflows that let you ""label"" and ""comment"" issues etc here: -LINK-.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57503578,body,"If I wanted to run an arbitrary command and make a PR to the repository, which GitHub Actions should I be looking at instead of reinventing my own Actions?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,57503578,body,Any pointers are appreciated.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57639507,title,How to access a service in Github Actions CI/CD?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,57639507,body,I'm trying to set up a CI/CD pipeline in GitHub Actions for my Elixir project.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57639507,body,"I can fetch dependencies, compile them, check formatting, credo...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57639507,body,"But when the tests starts, I'm not able to reach the PostgreSQL service declared on the YAML.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,57639507,body,How can I link both containers?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
